Generation Length,Mean (ms),Std (ms),Sample Size,60% Upper Bound (ms),70% Upper Bound (ms),80% Upper Bound (ms),85% Upper Bound (ms),90% Upper Bound (ms),95% Upper Bound (ms),98% Upper Bound (ms),99% Upper Bound (ms),99.5% Upper Bound (ms),99.9% Upper Bound (ms),100% Upper Bound (ms)
1,82.24,17.09,2000,79.36,81.23,84.66,88.79,101.30,122.18,140.37,156.14,159.87,178.07,187.01
3,121.72,29.65,2000,114.36,124.51,135.56,141.05,158.65,180.40,206.99,227.62,271.99,327.55,334.40
5,167.65,31.73,2000,159.13,166.18,180.96,188.96,216.36,229.69,277.06,285.23,288.47,346.56,368.02
7,209.44,21.95,2000,205.59,211.68,222.00,228.09,241.63,256.17,270.22,280.49,287.85,340.48,401.40
9,260.23,33.87,2000,252.24,260.67,272.30,284.96,303.16,329.78,362.45,418.90,422.27,434.76,459.74
11,318.58,39.35,2000,313.24,324.21,343.31,357.16,378.59,409.00,421.42,441.71,469.14,485.93,498.84
13,371.08,42.88,2000,368.38,387.66,410.60,419.70,426.56,449.94,483.84,507.06,514.87,588.66,614.29
15,414.71,41.41,2000,415.12,424.66,442.71,454.44,472.86,496.73,535.27,555.72,571.69,592.42,601.39
