Generation Length,Requests,Mean RTT (ms),Std RTT (ms),95% Upper Bound RTT (ms),99% Upper Bound RTT (ms),Mean Inference (ms),Notes Generated
1,2000.0,82.2,17.1,122.2,156.1,49.8,0.1
3,2000.0,121.7,29.6,180.4,227.6,86.5,0.2
5,2000.0,167.7,31.7,229.7,285.2,133.3,0.4
7,2000.0,209.4,21.9,256.2,280.5,185.1,0.5
9,2000.0,260.2,33.9,329.8,418.9,235.6,0.6
11,2000.0,318.6,39.3,409.0,441.7,290.9,0.8
13,2000.0,371.1,42.9,449.9,507.1,342.9,0.9
15,2000.0,414.7,41.4,496.7,555.7,394.2,1.2
