Generation Length,Requests,Mean RTT (ms),Std RTT (ms),95% Upper Bound RTT (ms),99% Upper Bound RTT (ms),Mean Inference (ms),Notes Generated
1,2000.0,80.7,15.6,107.3,133.3,46.8,0.1
3,2000.0,113.6,17.8,143.1,163.5,80.5,0.2
5,2000.0,157.3,15.8,185.3,204.6,124.1,0.3
7,2000.0,209.4,23.8,248.3,297.8,172.4,0.5
9,2000.0,260.8,35.0,332.2,405.5,221.4,0.6
11,2000.0,331.2,48.0,416.3,453.2,270.6,0.8
13,2000.0,374.0,44.8,457.3,511.4,319.3,0.9
15,2000.0,419.4,47.2,512.4,572.1,370.4,1.2
