experiment_name,percentile,inference_interval_ticks,generation_length_ticks,generation_length_frames,constraint_status_code,constraint_status,rtt_percentile_ms,constraint1_satisfied,constraint2_satisfied,both_constraints_satisfied
mac_latency_test,70.0,3,8,15,-1,No Data,509.8338375217281,False,False,False
mac_latency_test,70.0,4,1,1,2,C2 Violated,193.42711249482812,True,False,False
mac_latency_test,70.0,4,3,5,-1,No Data,268.51733766961837,False,False,False
mac_latency_test,70.0,4,5,9,2,C2 Violated,344.1580997838173,True,False,False
mac_latency_test,70.0,4,8,15,-1,No Data,509.8338375217281,False,False,False
mac_latency_test,70.0,5,1,1,2,C2 Violated,193.42711249482812,True,False,False
mac_latency_test,70.0,5,3,5,-1,No Data,268.51733766961837,False,False,False
mac_latency_test,70.0,5,5,9,2,C2 Violated,344.1580997838173,True,False,False
mac_latency_test,70.0,5,8,15,-1,No Data,509.8338375217281,False,False,False
mac_latency_test,70.0,6,1,1,2,C2 Violated,193.42711249482812,True,False,False
mac_latency_test,70.0,6,3,5,-1,No Data,268.51733766961837,False,False,False
mac_latency_test,70.0,6,5,9,2,C2 Violated,344.1580997838173,True,False,False
mac_latency_test,70.0,6,8,15,-1,No Data,509.8338375217281,False,False,False
mac_latency_test,70.0,7,1,1,2,C2 Violated,193.42711249482812,True,False,False
mac_latency_test,70.0,7,3,5,-1,No Data,268.51733766961837,False,False,False
mac_latency_test,70.0,7,5,9,2,C2 Violated,344.1580997838173,True,False,False
mac_latency_test,70.0,7,8,15,-1,No Data,509.8338375217281,False,False,False
mac_latency_test,80.0,1,1,1,3,Both Violated,195.80296659842128,False,False,False
mac_latency_test,80.0,1,3,5,-1,No Data,270.81879139877856,False,False,False
mac_latency_test,80.0,1,5,9,1,C1 Violated,351.15248319925735,False,True,False
mac_latency_test,80.0,1,8,15,-1,No Data,512.5387419946492,False,False,False
mac_latency_test,80.0,2,1,1,2,C2 Violated,195.80296659842128,True,False,False
mac_latency_test,80.0,2,3,5,-1,No Data,270.81879139877856,False,False,False
mac_latency_test,80.0,2,5,9,1,C1 Violated,351.15248319925735,False,True,False
mac_latency_test,80.0,2,8,15,-1,No Data,512.5387419946492,False,False,False
mac_latency_test,80.0,3,1,1,2,C2 Violated,195.80296659842128,True,False,False
mac_latency_test,80.0,3,3,5,-1,No Data,270.81879139877856,False,False,False
mac_latency_test,80.0,3,5,9,2,C2 Violated,351.15248319925735,True,False,False
mac_latency_test,80.0,3,8,15,-1,No Data,512.5387419946492,False,False,False
mac_latency_test,80.0,4,1,1,2,C2 Violated,195.80296659842128,True,False,False
mac_latency_test,80.0,4,3,5,-1,No Data,270.81879139877856,False,False,False
mac_latency_test,80.0,4,5,9,2,C2 Violated,351.15248319925735,True,False,False
mac_latency_test,80.0,4,8,15,-1,No Data,512.5387419946492,False,False,False
mac_latency_test,80.0,5,1,1,2,C2 Violated,195.80296659842128,True,False,False
mac_latency_test,80.0,5,3,5,-1,No Data,270.81879139877856,False,False,False
mac_latency_test,80.0,5,5,9,2,C2 Violated,351.15248319925735,True,False,False
mac_latency_test,80.0,5,8,15,-1,No Data,512.5387419946492,False,False,False
mac_latency_test,80.0,6,1,1,2,C2 Violated,195.80296659842128,True,False,False
mac_latency_test,80.0,6,3,5,-1,No Data,270.81879139877856,False,False,False
mac_latency_test,80.0,6,5,9,2,C2 Violated,351.15248319925735,True,False,False
mac_latency_test,80.0,6,8,15,-1,No Data,512.5387419946492,False,False,False
mac_latency_test,80.0,7,1,1,2,C2 Violated,195.80296659842128,True,False,False
mac_latency_test,80.0,7,3,5,-1,No Data,270.81879139877856,False,False,False
mac_latency_test,80.0,7,5,9,2,C2 Violated,351.15248319925735,True,False,False
mac_latency_test,80.0,7,8,15,-1,No Data,512.5387419946492,False,False,False
mac_latency_test,90.0,1,1,1,3,Both Violated,201.23022884363297,False,False,False
mac_latency_test,90.0,1,3,5,-1,No Data,281.08902908279555,False,False,False
mac_latency_test,90.0,1,5,9,1,C1 Violated,358.39275440666825,False,True,False
mac_latency_test,90.0,1,8,15,-1,No Data,524.1937253042124,False,False,False
mac_latency_test,90.0,2,1,1,2,C2 Violated,201.23022884363297,True,False,False
mac_latency_test,90.0,2,3,5,-1,No Data,281.08902908279555,False,False,False
mac_latency_test,90.0,2,5,9,1,C1 Violated,358.39275440666825,False,True,False
mac_latency_test,90.0,2,8,15,-1,No Data,524.1937253042124,False,False,False
mac_latency_test,90.0,3,1,1,2,C2 Violated,201.23022884363297,True,False,False
mac_latency_test,90.0,3,3,5,-1,No Data,281.08902908279555,False,False,False
