Generation Length,Mean (ms),Std (ms),Sample Size,60% Upper Bound (ms),70% Upper Bound (ms),80% Upper Bound (ms),85% Upper Bound (ms),90% Upper Bound (ms),95% Upper Bound (ms),98% Upper Bound (ms),99% Upper Bound (ms),99.5% Upper Bound (ms),99.9% Upper Bound (ms),100% Upper Bound (ms)
1,80.67,15.57,2000,79.84,82.13,85.28,88.24,95.24,107.26,116.39,133.32,151.94,235.57,264.93
3,113.65,17.84,2000,110.96,115.59,126.65,132.15,136.94,143.14,153.32,163.49,169.82,178.33,406.51
5,157.27,15.78,2000,155.91,158.45,164.00,169.60,176.60,185.30,196.84,204.62,224.90,305.78,322.84
7,209.36,23.77,2000,205.79,212.68,223.29,229.34,234.35,248.32,283.91,297.76,321.09,382.91,419.56
9,260.76,34.95,2000,254.31,262.76,272.11,280.09,298.15,332.19,383.00,405.53,429.48,477.40,478.13
11,331.25,48.02,2000,325.97,342.74,384.52,405.89,409.06,416.35,432.89,453.15,473.35,501.17,531.21
13,373.97,44.75,2000,379.84,403.00,408.38,410.80,421.84,457.30,507.05,511.42,517.07,603.01,614.86
15,419.37,47.24,2000,413.54,430.35,448.97,466.63,492.08,512.37,544.37,572.10,592.05,636.58,644.53
