request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,round_trip_time,server_processing_duration,total_network_latency
84390.622900043,84391.238131268,84390.622955348,84390.631957524,84391.229498281,84391.229498598,1.2341701660188846,0.6152312249905663,0.6189389410283184
84392.745090627,84393.317734108,84392.745214065,84392.752402399,84393.308695056,84393.308695372,1.1805637500365265,0.5726434810057981,0.6079202690307284
84394.941424835,84395.57935085,84394.941480255,84394.943204325,84395.566015715,84395.566016111,1.3216103329905309,0.6379260150133632,0.6836843179771677
84397.099169852,84397.655540999,84397.099306845,84397.107588214,84397.647214903,84397.647215279,1.2523863750393502,0.5563711470022099,0.6960152280371403
84399.244457241,84400.073429796,84399.244540558,84399.2530521,84400.062451878,84400.062452182,1.5415534579660743,0.8289725549984723,0.712580902967602
84401.268328835,84401.967872321,84401.268470685,84401.276873138,84401.953069597,84401.953069944,1.3718988750479184,0.6995434860000387,0.6723553890478797
84403.375184657,84403.935340986,84403.375283989,84403.382982826,84403.924613022,84403.924613395,1.179020292009227,0.5601563290110789,0.618863962998148
84405.535140578,84406.254445203,84405.535254426,84405.54570563,84406.243350619,84406.243350916,1.3621988329687156,0.719304625003133,0.6428942079655826
84407.644838189,84408.538452947,84407.644919937,84407.660491741,84408.524516331,84408.524516676,1.510064792004414,0.8936147580097895,0.6164500339946244
84409.790526633,84410.617384359,84409.790608871,84409.82415127,84410.60038623,84410.600386574,1.4634034580085427,0.826857725987793,0.6365457320207497
84411.941172311,84412.951452146,84411.941273143,84411.969582967,84412.932251043,84412.93225141,1.6662204580497928,1.010279834998073,0.6559406230517197
