Generation Length,Requests,Mean RTT (ms),Std RTT (ms),Mean Inference (ms),Notes Generated
1,200.0,91.4,64.6,59.6,0.1
2,200.0,105.1,43.4,74.0,0.1
3,200.0,119.5,43.0,87.3,0.4
4,200.0,143.4,50.5,108.9,0.2
5,200.0,163.2,41.1,131.8,0.4
6,200.0,189.1,49.8,155.5,0.4
7,200.0,215.1,31.8,181.0,0.4
8,200.0,260.2,59.8,207.7,0.3
