Generation Length,Requests,Mean RTT (ms),Std RTT (ms),95% Upper Bound RTT (ms),99% Upper Bound RTT (ms),Mean Inference (ms),Notes Generated
1,2000.0,60.4,20.5,73.5,98.7,46.2,0.1
3,2000.0,95.1,12.3,122.9,134.2,81.6,0.2
5,2000.0,140.5,12.2,165.7,183.6,127.2,0.4
7,2000.0,189.5,15.4,219.4,239.8,176.0,0.5
9,2000.0,238.1,18.9,275.2,305.6,224.0,0.6
11,2000.0,288.7,37.5,342.0,384.9,273.9,0.9
13,2000.0,341.7,66.2,404.2,471.3,327.1,1.0
15,2000.0,386.4,32.8,453.8,508.5,371.5,1.2
