request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,round_trip_time,server_processing_duration,total_network_latency
84295.514878551,84296.751598238,84295.515018506,84295.616408662,84296.741913819,84296.741914132,1.886574542033486,1.2367196870036423,0.6498548550298437
84297.6077838,84298.438841426,84297.607868462,84297.616074068,84298.423974921,84298.42397526,1.4386009580339305,0.8310576259973459,0.6075433320365846
84299.81353789,84300.36443938,84299.813606181,84299.815277662,84300.355611192,84300.355611575,1.21970658400096,0.5509014900017064,0.6688050939992536
84301.888694096,84302.572126921,84301.888825568,84301.896095951,84302.559564501,84302.559564815,1.294498375034891,0.6834328250115504,0.6110655500233406
84304.021964606,84304.717543156,84304.022078126,84304.031187899,84304.707316972,84304.707317349,1.3083607080043294,0.6955785500031197,0.6127821580012096
84306.159852282,84306.887895269,84306.159923489,84306.166994946,84306.87497398,84306.874974375,1.3416694579645991,0.7280429870006628,0.6136264709639363
84308.26093902,84308.991074529,84308.26145351,84308.269072418,84308.979367436,84308.979367721,1.3403163329930976,0.7301355090021389,0.6101808239909587
84310.440126355,84311.122685036,84310.440177226,84310.447756178,84311.112666573,84311.112666863,1.3974365839967504,0.6825586810009554,0.714877902995795
