request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration,generation_length_frames,prompt_length_ticks,experiment_name,experiment_duration,generation_length,experiment_source,experiment_type
3,0,400,0.1905092920060269,0.1585734290420077,659602.775512764,659602.807448627,659602.775651766,659602.777175609,659602.807159003,659602.807166224,0.0319358629640191,0.0015238430351018,0.0299833939643576,0.0002824029652401,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
5,0,400,0.1914214589633047,0.1590666599804535,659603.357375731,659603.38973053,659603.357513193,659603.359056876,659603.389405106,659603.389412606,0.0323547989828512,0.0015436829999089,0.0303482299204915,0.0003179239574819,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
6,0,400,0.1897576659685,0.1570098199881613,659603.654129838,659603.686877684,659603.65429965,659603.65629813,659603.686553548,659603.686561149,0.0327478459803387,0.0019984800601378,0.0302554179215803,0.0003165350062772,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
7,0,400,0.1896814589854329,0.1580179099692031,659603.946398977,659603.978062526,659603.946533839,659603.94794611,659603.977776762,659603.977784312,0.0316635490162298,0.0014122710563242,0.0298306519398465,0.0002782139927148,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
9,0,400,0.1912422080058604,0.159258282976225,659604.551082029,659604.583065954,659604.551217221,659604.552719834,659604.582717219,659604.582724659,0.0319839250296354,0.0015026130713522,0.0299973849905654,0.0003412950318306,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
10,0,400,0.1959203330334276,0.1599288380239159,659604.847249907,659604.883241402,659604.847383369,659604.848806561,659604.882848067,659604.882855557,0.0359914950095117,0.0014231919776648,0.034041506005451,0.0003858449636027,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
11,0,400,0.191551083989907,0.1597585819545202,659605.146968859,659605.178761361,659605.147127981,659605.148576054,659605.178421646,659605.178429115,0.0317925020353868,0.0014480730751529,0.0298455919837579,0.000332246068865,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
12,0,400,0.1899416669621132,0.1581475060083903,659605.439420841,659605.471215002,659605.439551293,659605.441056806,659605.470894658,659605.470901568,0.0317941609537228,0.0015055129770189,0.0298378519946709,0.0003134340513497,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
14,0,400,0.1963649580138735,0.1646547860582359,659606.065775942,659606.097486114,659606.065908275,659606.067342866,659606.097165759,659606.097173659,0.0317101719556376,0.0014345910167321,0.0298228929750621,0.0003124549984931,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
15,0,400,0.1904765000217594,0.1578695669886656,659606.367498906,659606.400105839,659606.367668778,659606.369580658,659606.399708213,659606.399715733,0.0326069330330938,0.0019118799827992,0.0301275550154969,0.0003901059972122,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
19,0,400,0.192506332998164,0.1607600919669494,659607.58545136,659607.617197601,659607.585583843,659607.587039274,659607.616877607,659607.616884877,0.0317462410312145,0.0014554309891536,0.0298383329063653,0.0003127240343019,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
20,0,400,0.1990973749780096,0.1670521699707023,659607.885893593,659607.917938798,659607.886057076,659607.887494747,659607.917537323,659607.917544713,0.0320452050073072,0.0014376709004864,0.0300425760215148,0.0003940849564969,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
21,0,400,0.1899166249786503,0.1570410280837677,659608.188065323,659608.22094092,659608.188201325,659608.189652077,659608.220479964,659608.220487433,0.0328755968948826,0.0014507520245388,0.0308278870070353,0.000453486922197,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
22,0,400,0.1920897079980932,0.1600544229731895,659608.483591301,659608.515626586,659608.483724153,659608.485173455,659608.515250521,659608.515258271,0.0320352850249037,0.0014493019552901,0.0300770660396665,0.0003683150280267,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
23,0,400,0.190082750050351,0.1575438580475747,659608.780655074,659608.813193966,659608.780799125,659608.78242659,659608.812781799,659608.812789009,0.0325388920027762,0.0016274650115519,0.0303552090190351,0.0004049570998176,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
25,0,400,0.1933906250051222,0.1612392890383489,659609.372151976,659609.404303312,659609.372292368,659609.373880322,659609.403935717,659609.403942687,0.0321513359667733,0.0015879540005698,0.0300553949782624,0.0003606249811127,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
26,0,400,0.1910563340061344,0.158805706014391,659609.666917412,659609.69916804,659609.667086365,659609.66876198,659609.698786065,659609.698793345,0.0322506279917433,0.0016756149707362,0.0300240849610418,0.0003746949369087,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
27,0,400,0.1908804169506766,0.1588221609708853,659609.958817195,659609.990875451,659609.958952438,659609.96043517,659609.990495615,659609.990503306,0.0320582559797912,0.0014827320119366,0.0300604450749233,0.0003721449756994,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
29,0,400,0.1930952920229174,0.1609580460353754,659610.551261013,659610.583398259,659610.551396785,659610.552824437,659610.583022964,659610.583030794,0.0321372459875419,0.0014276520814746,0.0301985269179567,0.0003674649633467,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
30,0,400,0.1909552920260466,0.1592279620817862,659610.849546824,659610.881274154,659610.849700756,659610.851165238,659610.880952128,659610.88095928,0.0317273299442604,0.0014644819311797,0.0297868900233879,0.0003148739924654,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
31,0,400,0.189081749995239,0.1573735889978706,659611.144919059,659611.17662722,659611.145079382,659611.146507363,659611.176318955,659611.176326184,0.0317081609973683,0.0014279809547588,0.0298115920741111,0.0003010360524058,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
32,0,400,0.1900304590235464,0.1583042480633594,659611.437206088,659611.468932299,659611.437339,659611.438765871,659611.468601894,659611.468609414,0.031726210960187,0.0014268709346652,0.0298360229935497,0.0003228849964216,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
33,0,400,0.1918899589800276,0.1600474679726176,659611.730426772,659611.762269263,659611.730565984,659611.732124407,659611.761963649,659611.761970409,0.0318424910074099,0.001558422925882,0.0298392419936135,0.0002988540800288,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
34,0,400,0.1926802909583784,0.1607405369286425,659612.028429427,659612.060369181,659612.028567099,659612.030138693,659612.060037856,659612.060045206,0.0319397540297359,0.0015715940389782,0.0298991629388183,0.0003239749930799,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
35,0,400,0.1945046660257503,0.1626467340392992,659612.325154354,659612.357012286,659612.325294096,659612.326768098,659612.35666537,659612.356672682,0.0318579319864511,0.0014740020269528,0.0298972720047459,0.0003396039828658,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
36,1,400,0.1970812079962343,0.1609026090009138,659612.623040247,659612.659218846,659612.623177,659612.624642242,659612.65885605,659612.658863541,0.0361785989953205,0.0014652420068159,0.0342138080159202,0.0003553050337359,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
37,0,400,0.1906968340044841,0.1589118230622261,659612.919787655,659612.951572666,659612.919921278,659612.921400459,659612.951236521,659612.951244061,0.0317850109422579,0.0014791809953749,0.0298360619926825,0.0003286049468442,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
38,0,400,0.1932473750202916,0.16145002405392,659613.214506001,659613.246303352,659613.214639252,659613.216102454,659613.245972228,659613.245979558,0.0317973509663715,0.0014632019447162,0.0298697740072384,0.0003237939672544,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
39,0,400,0.1892115829978138,0.1575158330379054,659613.513069316,659613.544765066,659613.513200567,659613.514639519,659613.544467011,659613.544474141,0.0316957499599084,0.0014389520511031,0.0298274919623509,0.0002909250324591,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
40,0,400,0.1895019169896841,0.1576998750679195,659613.808180358,659613.8399824,659613.808314179,659613.809788371,659613.839654494,659613.839661584,0.0318020419217646,0.001474192016758,0.0298661229899153,0.0003208159469068,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
41,0,400,0.1898933339980431,0.1582379550090991,659614.099023794,659614.130679173,659614.099165666,659614.100594928,659614.130370889,659614.130377829,0.0316553789889439,0.0014292619889602,0.0297759609529748,0.0003013440873473,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
42,0,400,0.1923819580115378,0.1605970760574564,659614.392978789,659614.424763671,659614.393144101,659614.394609794,659614.424443816,659614.424450896,0.0317848819540813,0.0014656929997727,0.0298340219305828,0.0003127750242128,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
43,2,400,0.1973585000378079,0.1581322660786099,659614.687209888,659614.726436122,659614.68734243,659614.688829613,659614.726101928,659614.726109418,0.039226233959198,0.0014871830353513,0.0372723150067031,0.0003267040010541,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
44,0,400,0.1930889579816721,0.161251485988032,659614.987458048,659615.01929552,659614.98759511,659614.989134253,659615.018979396,659615.018986266,0.03183747199364,0.0015391430351883,0.0298451429698616,0.0003092540428042,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
45,0,400,0.194203833991196,0.1624210130539722,659615.288433459,659615.32021628,659615.288564432,659615.290050414,659615.319863495,659615.319870706,0.0317828209372237,0.0014859820948913,0.0298130809096619,0.0003455739933997,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
46,0,400,0.1916989170131273,0.1596493999822996,659615.584243161,659615.616292678,659615.584394284,659615.586030679,659615.615908982,659615.615916502,0.0320495170308277,0.0016363951144739,0.0298783029429614,0.0003761760890483,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
47,0,400,0.1931167080183513,0.161341996921692,659615.884578454,659615.916353165,659615.884711035,659615.886215658,659615.916033599,659615.916040889,0.0317747110966593,0.0015046230982989,0.0298179409001022,0.0003122760681435,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
48,0,400,0.1930526249925606,0.1612098019686527,659616.184502288,659616.216345111,659616.1846359,659616.186105862,659616.215993885,659616.216022325,0.0318428230239078,0.0014699620660394,0.029888022923842,0.000322786043398,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
50,0,400,0.1910948330187238,0.1593858119449578,659616.789517956,659616.821226977,659616.789664239,659616.79110809,659616.820890762,659616.820898262,0.031709021073766,0.0014438509242609,0.0297826720634475,0.0003287150757387,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
51,0,400,0.1929542089928873,0.1612238779780455,659617.084283093,659617.116013424,659617.084416155,659617.085876988,659617.115698389,659617.115705659,0.0317303310148417,0.0014608330093324,0.0298214009962975,0.0003077649744227,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
52,0,400,0.1912822909653186,0.1595688599627465,659617.378550572,659617.410264003,659617.378681794,659617.380124556,659617.409936199,659617.409943059,0.0317134310025721,0.0014427619753405,0.0298116429476067,0.0003209440037608,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
53,0,400,0.1916808750247582,0.1597253810614347,659617.672287364,659617.704242858,659617.672431526,659617.67405091,659617.703925533,659617.703932653,0.0319554939633235,0.0016193840419873,0.0298746229382231,0.0003102050395682,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
54,0,400,0.1918325840379111,0.1596778480452485,659617.96632983,659617.998484566,659617.966464452,659617.968025506,659617.998098741,659617.998106361,0.0321547359926626,0.0015610540285706,0.0300732350442558,0.0003782049752771,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
56,0,400,0.1915181249496527,0.1595799009664915,659618.576827361,659618.608765585,659618.576976853,659618.578579167,659618.608443399,659618.608450879,0.0319382239831611,0.0016023140633478,0.0298642319394275,0.000314706005156,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
57,0,400,0.1904503750265576,0.1586520539713092,659618.868970049,659618.90076837,659618.86913152,659618.870661503,659618.900466915,659618.900474165,0.0317983210552483,0.0015299830120056,0.0298054119339212,0.0002942050341516,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
58,0,400,0.1921936669969,0.1602015320095233,659619.164284003,659619.196276138,659619.164418575,659619.165894088,659619.195916592,659619.195923652,0.0319921349873766,0.0014755129814147,0.0300225040409714,0.0003524859203025,1,384,mac_latency_test_GL1_PL384,60.243120193481445,1,mac_latency_test,bulk_benchmark
