request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,6,16,0.7228588869911619,0.0025493949942756444,152120.597650315,152121.317959807,152120.597700315,152120.657059508,152121.315157813,152121.315158013,0.7203094919968862,0.05935919299372472,0.658098304993473,0.0028017940057907254
2,0,16,0.3395300839911215,0.002333495009224862,152121.420479521,152121.75767611,152121.420527521,152121.422331118,152121.755343014,152121.755343214,0.33719658898189664,0.0018035969987977296,0.3330118960002437,0.0023328959941864014
3,0,16,0.3549074570182711,0.002355897013330832,152121.860263024,152122.212814584,152121.860317123,152121.86221792,152122.210261689,152122.210261889,0.35255156000494026,0.0019007969822268933,0.3480437690159306,0.002552694990299642
4,0,16,0.34464327502064407,0.002288895018864423,152122.315414298,152122.657768678,152122.315461798,152122.317385895,152122.655268882,152122.655269082,0.34235438000177965,0.0019240970141254365,0.33788298699073493,0.0024995960120577365
5,0,16,0.3500035659817513,0.002519995963666588,152122.760598492,152123.108082062,152122.760648391,152122.762644188,152123.105509867,152123.105510167,0.3474835700180847,0.0019957970071118325,0.34286567897652276,0.002571895020082593
6,3,16,0.39905084800557233,0.0023406969849020243,152123.210652777,152123.607362928,152123.210703677,152123.212770773,152123.604486934,152123.604487134,0.3967101510206703,0.0020670960075221956,0.39171616098610684,0.002875794016290456
7,7,16,0.43484155301121064,0.0023742949997540563,152123.709951528,152124.142418786,152123.710009728,152123.712019624,152124.139278292,152124.139278492,0.4324672580114566,0.0020098960085306317,0.42725866797263734,0.003140294022159651
8,0,16,0.33859324001241475,0.002284295012941584,152124.245107586,152124.581416531,152124.245155486,152124.247408281,152124.578925436,152124.578925536,0.33630894499947317,0.0022527950059156865,0.3315171550202649,0.0024909949861466885
9,4,16,0.4273246680095326,0.002419994998490438,152124.684132931,152125.109037604,152124.684181831,152124.686485626,152125.10603331,152125.10603351,0.4249046730110422,0.0023037950159050524,0.4195476839959156,0.00300409400369972
10,0,16,0.33944883997901343,0.0022909959661774337,152125.211636904,152125.548794748,152125.211683804,152125.2140215,152125.546324453,152125.546324553,0.337157844012836,0.002337696001632139,0.3323029530001804,0.002470195002388209
11,0,16,0.35262651499942876,0.0023257959983311594,152125.651445249,152126.001745968,152125.651494249,152125.653863644,152125.999207973,152125.999208173,0.3503007190010976,0.0023693949915468693,0.3453443289909046,0.002537795022362843
12,0,16,0.33919924098881893,0.002242296002805233,152126.104292269,152126.441249214,152126.104339869,152126.106755864,152126.438790219,152126.438790419,0.3369569449860137,0.002415994997136295,0.33203435500035994,0.002458795002894476
13,4,16,0.38058846100466326,0.0022687950113322586,152126.543795015,152126.922114681,152126.543843315,152126.54630021,152126.919436786,152126.919436986,0.378319665993331,0.0024568949884269387,0.3731365760031622,0.0026776949816849083
14,0,16,0.3364857470151037,0.0023147960018832237,152127.024733982,152127.358904933,152127.024780982,152127.027270477,152127.356317838,152127.356317938,0.3341709510132205,0.002489495003828779,0.32904736101045273,0.0025869949895422906
15,5,16,0.40851630800170824,0.002394795010332018,152127.461554334,152127.867675847,152127.461604334,152127.464270929,152127.864675653,152127.864676153,0.4061215129913762,0.0026665949844755232,0.4004047240014188,0.0029996939992997795
16,4,16,0.3944815350114368,0.0023173950030468404,152127.970302548,152128.362466688,152127.970351448,152127.973163642,152128.359670193,152128.359670393,0.39216414000838995,0.002812193997669965,0.38650655100354925,0.0027962950116489083
17,0,16,0.33726254699286073,0.002371794980717823,152128.465067589,152128.799958341,152128.465115889,152128.467761884,152128.797477545,152128.797477745,0.3348907520121429,0.0026459950022399426,0.3297156610060483,0.0024805959837976843
18,0,16,0.33988584199687466,0.002373294992139563,152128.902549442,152129.240061989,152128.902597642,152128.905266137,152129.237565394,152129.237565594,0.3375125470047351,0.0026684949989430606,0.3322992569883354,0.002496394998161122
19,0,16,0.3396456429909449,0.002271295990794897,152129.34274059,152129.680114937,152129.34278939,152129.345648084,152129.677481743,152129.677481943,0.33737434700015,0.0028586940024979413,0.3318336590018589,0.002632993971928954
20,1,16,0.3600119039765559,0.002272794983582571,152129.782656239,152130.140395348,152129.782704739,152129.785423034,152130.137802053,152130.137802253,0.35773910899297334,0.0027182949997950345,0.35237901902291924,0.002593094977783039
21,0,16,0.33930764498654753,0.0022681969858240336,152130.24294625,152130.579985698,152130.242995849,152130.245751444,152130.577502903,152130.577503203,0.3370394480007235,0.0027555949927773327,0.3317514590162318,0.0024824949796311557
22,0,16,0.33835995601839386,0.00224129602429457,152130.6825461,152131.01866476,152130.6825952,152130.685396595,152131.016228965,152131.016229165,0.3361186599940993,0.002801395021378994,0.33083236997481436,0.0024355950008612126
23,4,16,0.36850202799541876,0.002305395988514647,152131.121239073,152131.487435705,152131.121289073,152131.124294968,152131.484571711,152131.484571911,0.3661966320069041,0.0030058950069360435,0.36027674298384227,0.002863794012228027
24,3,16,0.4263040189980529,0.0023426949919667095,152131.590030217,152132.013991541,152131.590080517,152131.592936112,152132.010954446,152132.010954846,0.4239613240060862,0.002855594997527078,0.41801833402132615,0.0030366950086317956
