request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,0,16,0.5898749729967676,0.002609197996207513,114435.369039738,114435.956305513,114435.369090438,114435.488598865,114435.955205016,114435.955205216,0.5872657750005601,0.11950842700025532,0.4666061509924475,0.0011002969986293465
2,0,16,0.19096707200515084,0.0024019940028665587,114436.058839083,114436.247404161,114436.058889683,114436.061118878,114436.246357863,114436.246358063,0.18856507800228428,0.0022291950008366257,0.1852389849955216,0.001046097997459583
3,0,16,0.13279410199902486,0.0023542940034531057,114436.35010713,114436.480546938,114436.35015763,114436.353026824,114436.47941614,114436.47941674,0.13043980799557175,0.0028691939951386303,0.12638931600668002,0.0011301979975542054
4,0,16,0.12945381199824624,0.0022965949901845306,114436.583158108,114436.710315325,114436.583208608,114436.585492103,114436.709094228,114436.709094428,0.1271572170080617,0.002283494992298074,0.12360212500789203,0.0012208970001665875
5,2,16,0.18134579701290932,0.0023157950199674815,114436.812914797,114436.991944799,114436.812963797,114436.81596129,114436.990692302,114436.990692502,0.17903000199294183,0.002997493007569574,0.17473101199720986,0.0012522969918791205
6,0,16,0.13086500800272916,0.00233589400886558,114437.09455947,114437.223088584,114437.09460877,114437.097703163,114437.221655988,114437.221656188,0.12852911399386358,0.0030943930032663047,0.12395282500074245,0.0014323959912871942
7,0,16,0.12908131300355308,0.0023240950104082003,114437.325773056,114437.452530274,114437.325823956,114437.328979949,114437.451513276,114437.451513476,0.12675721799314488,0.003155993006657809,0.12253332699765451,0.0010167979926336557
8,0,16,0.12906211499648634,0.0023733949929010123,114437.555175446,114437.681864166,114437.555224245,114437.558299739,114437.680757868,114437.680758068,0.12668872000358533,0.003075493994401768,0.1224581290007336,0.0011060980032198131
9,0,16,0.12970621399290394,0.002313394987140782,114437.784503939,114437.911896758,114437.784552039,114437.787702832,114437.91081226,114437.91081246,0.12739281900576316,0.003150793010718189,0.1231094279937679,0.0010842979972949252
10,0,16,0.13170540900318883,0.0023305950016947463,114438.014527231,114438.143902045,114438.014576631,114438.017787924,114438.142833748,114438.142833948,0.1293748140014941,0.0032112929911818355,0.12504582401015796,0.0010680970008252189
11,0,16,0.1297066130064195,0.002336094999918714,114438.246470919,114438.373841437,114438.246519619,114438.249691812,114438.37285354,114438.37285374,0.1273705180065008,0.0031721929990453646,0.12316172799910419,0.0009876969998003915
12,0,16,0.12991141401289497,0.0023090950126061216,114438.476600411,114438.60420273,114438.47665051,114438.479920603,114438.603172232,114438.603172432,0.12760231900028884,0.003270093002356589,0.12325162900378928,0.0010302979935659096
13,0,16,0.1293459169974085,0.0023152950016083196,114438.706788005,114438.833818627,114438.706836105,114438.710183998,114438.832783129,114438.832783329,0.12703062199580017,0.0033478929981356487,0.12259913099114783,0.001035298002534546
14,0,16,0.12930311700620223,0.002296395003213547,114438.936291002,114439.063297724,114438.936340102,114438.939741794,114439.062255126,114439.062255326,0.12700672200298868,0.00340169201081153,0.12251333199674264,0.001042397998389788
15,1,16,0.13858609599992633,0.0023017950006760657,114439.165933299,114439.3022176,114439.165982499,114439.169634591,114439.301152502,114439.301152702,0.13628430099925026,0.0036520919966278598,0.1315179109951714,0.001064897995092906
16,0,16,0.13104151299921796,0.002386494990787469,114439.404844775,114439.533499793,114439.404893875,114439.408396967,114439.532468695,114439.532468895,0.1286550180084305,0.0035030919971177354,0.1240717280015815,0.0010308979981346056
17,0,16,0.12890260700078215,0.00234939600341022,114439.63619417,114439.762747381,114439.63624387,114439.639587062,114439.761681181,114439.761681381,0.12655321099737193,0.0033431920019211248,0.12209411899675615,0.001065999997081235
18,0,16,0.12999570500687696,0.0024205990048358217,114439.865458906,114439.993034012,114439.865507306,114439.869111503,114439.991970013,114439.991970113,0.12757510600204114,0.0036041969869984314,0.12285851000342518,0.0010638990061124787
19,0,16,0.13103250399581157,0.0023887979914434254,114440.095659638,114440.224303344,114440.095710337,114440.098483335,114440.223234644,114440.223234844,0.12864370600436814,0.0027729979919968173,0.12475130900566,0.0010685000015655532
20,0,16,0.1284539059997769,0.0022489989933092147,114440.326897069,114440.453101976,114440.326945269,114440.329788766,114440.452071477,114440.452071677,0.1262049070064677,0.002843497000867501,0.12228271100320853,0.0010302989976480603
21,0,16,0.129528206991381,0.0023371979914372787,114440.555672102,114440.682863111,114440.555722502,114440.559428399,114440.681837912,114440.681838112,0.12719100899994373,0.0037058970046928152,0.12240951298736036,0.0010249990009469911
22,0,16,0.13026710700069088,0.0022932989959372208,114440.785453438,114440.913427246,114440.785502338,114440.789279435,114440.912406147,114440.912406347,0.12797380800475366,0.0037770970084238797,0.12312671200197656,0.001020899013383314
23,0,16,0.13557140399643686,0.002374898991547525,114441.016066873,114441.149263378,114441.016116073,114441.019715271,114441.148203279,114441.148203479,0.13319650500488933,0.003599197996663861,0.12848800799110904,0.0010598990047583356
24,0,16,0.13066320698999334,0.002355898992391303,114441.251902705,114441.380210013,114441.251953705,114441.255622302,114441.379090014,114441.379090214,0.12830730799760204,0.003668596997158602,0.12346771200827789,0.0011197989952052012
25,0,16,0.12837270999443717,0.002281998997204937,114441.48282554,114441.608916251,114441.48287474,114441.486607537,114441.607898452,114441.607898652,0.12609071099723224,0.0037327969912439585,0.1212909150053747,0.0010175990028074011
26,0,16,0.1317005079908995,0.002342897991184145,114441.71154588,114441.84090349,114441.71159628,114441.715590577,114441.839715591,114441.839716091,0.12935760999971535,0.003994297003373504,0.12412501400103793,0.00118739900062792
27,0,16,0.13042050899821334,0.0023096980003174394,114441.943465218,114442.071576029,114441.943515518,114441.947543815,114442.07046433,114442.07046453,0.1281108109978959,0.004028297000331804,0.1229205150011694,0.0011114990047644824
28,0,16,0.12968790899321903,0.0023371979914372787,114442.174134458,114442.301485169,114442.174184458,114442.177296555,114442.30045447,114442.30045467,0.12735071100178175,0.003112097008852288,0.12315791498986073,0.001030498999170959
29,0,16,0.13043170899618417,0.002296997990924865,114442.404111397,114442.532246108,114442.404161597,114442.409090994,114442.531155109,114442.531155309,0.1281347110052593,0.004929396993247792,0.1220641149993753,0.0010907990072155371
30,1,16,0.13953680499980692,0.0022795979893999174,114442.634847738,114442.772104945,114442.634897638,114442.638927135,114442.770972946,114442.770973146,0.137257207010407,0.004029497009469196,0.13204581099853385,0.0011317989992676303
31,6,16,0.20329036199836992,0.0023420990037266165,114442.874780475,114443.075728738,114442.874844375,114442.879082372,114443.074304439,114443.074304639,0.2009482629946433,0.004237997010932304,0.19522206699184608,0.0014240989985410124
