request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,0,16,1.0184042969999894,0.0035012569999821608,213.040517081,214.055420121,213.04064891,213.215506852,214.053607615,214.053616498,1.0149030400000072,0.17485794200001692,0.8381007629999999,0.001803623000000698
2,6,16,0.3179870410000092,0.002488007000010839,214.158998117,214.474497151,214.159108144,214.161273844,214.472409681,214.472418261,0.31549903399999835,0.0021657000000061544,0.3111358369999948,0.00207889000000705
3,1,16,0.29291660200001957,0.002427643000032731,214.577880533,214.868369492,214.578005296,214.581048885,214.866392249,214.86640093,0.29048895899998683,0.00304358900001489,0.28534336399999916,0.001968562000001839
4,0,16,0.268257804000001,0.002500423000014962,214.971287331,215.237044712,214.971395843,214.974312245,215.235156299,215.235165081,0.265757380999986,0.002916401999982554,0.2608440540000174,0.0018796310000084304
5,0,16,0.262193136999997,0.002461963000001788,215.340441519,215.600172693,215.340549122,215.343591499,215.598362105,215.598370887,0.25973117399999524,0.003042377000014085,0.2547706059999939,0.0018018060000031255
6,0,16,0.2996877580000046,0.0025433220000081747,215.70350308,216.000647516,215.703614519,215.707367322,215.998500288,215.99850907,0.2971444359999964,0.0037528029999975843,0.29113296599999217,0.002138445999975147
7,1,16,0.28722885199999837,0.0024493459999916922,216.103998091,216.388777597,216.10410943,216.107201672,216.386722529,216.38673121,0.2847795060000067,0.0030922420000081274,0.2795208569999943,0.002046387000007144
8,0,16,0.271704351000011,0.0024847760000170638,216.491974034,216.761193609,216.492082244,216.495305104,216.759198399,216.759207484,0.26921957499999394,0.003222860000022365,0.2638932950000026,0.001986125000001948
9,0,16,0.2703660680000155,0.0024244130000283803,216.864572044,217.132513699,216.864680556,216.868148301,217.130532217,217.130540999,0.2679416549999871,0.003467744999994693,0.26238391600000455,0.0019726999999818418
10,0,16,0.26209330599999703,0.0025230329999885726,217.235697115,217.495267388,217.235805425,217.239124079,217.493427326,217.493436107,0.25957027300000846,0.003318653999997423,0.25430324699999574,0.0018312809999940782
11,0,16,0.27066202899999325,0.002471249999985048,217.598490373,217.866681152,217.598599895,217.602013232,217.864613466,217.86462245,0.2681907790000082,0.003413336999983585,0.2626002340000184,0.002058701999999357
12,0,16,0.2616310950000127,0.0025210139999956027,217.970178799,218.22928888,217.970292762,217.973694289,218.22731406,218.227323044,0.2591100810000171,0.0034015269999940756,0.25361977099998967,0.0019658360000107677
13,0,16,0.26235798700000146,0.0023877599999764243,218.332558601,218.592528828,218.332665801,218.33606864,218.590646683,218.590655434,0.25997022700002503,0.003402839000017366,0.2545780429999809,0.0018733940000004168
14,0,16,0.26294526599997425,0.0023860479999484596,218.695553648,218.956112866,218.695656038,218.699087811,218.954177917,218.954187069,0.2605592180000258,0.003431772999988425,0.2550901060000115,0.001925797000012608
15,0,16,0.26715562600000453,0.0024350310000045283,219.058926267,219.323646862,219.059034189,219.06271208,219.321604695,219.321613446,0.264720595,0.003677891000023692,0.2588926149999793,0.002033416000017496
16,0,16,0.27614079800000013,0.002494776000020238,219.426836532,219.700482554,219.426947169,219.430424103,219.698570638,219.69857959,0.2736460219999799,0.0034769340000195825,0.26814653499999963,0.0019029639999814663
17,0,16,0.2654706170000054,0.0023974140000007083,219.803237318,220.066310521,219.803345944,219.806824185,220.064404841,220.064413893,0.2630732030000047,0.0034782410000104846,0.2575806559999876,0.0018966279999972357
18,0,16,0.26807633100000317,0.002408175999988771,220.169125431,220.434793586,220.169235163,220.172834603,220.432889917,220.43289897,0.2656681550000144,0.0035994400000163296,0.2600553139999988,0.0018946160000155032
19,5,16,0.3369606360000148,0.002657211000013149,220.538119742,220.872423167,220.538229374,220.541881115,220.870133474,220.87014323,0.33430342500000165,0.003651740999998765,0.32825235900000393,0.0022799369999972896
20,0,16,0.2673653340000044,0.0025240429999939806,220.975539514,221.240380805,220.975648643,220.979535539,221.238445051,221.238453701,0.2648412910000104,0.003886896000011575,0.25890951200000245,0.00192710400000351
21,1,16,0.2726582310000083,0.0024123999999972057,221.343473817,221.613719648,221.34358194,221.347086231,221.611647609,221.61165636,0.2702458310000111,0.003504290999984505,0.26456137799999624,0.002063287999988006
22,0,16,0.2677714749999893,0.0024298009999768055,221.716782889,221.982124563,221.716893124,221.720480092,221.98020279,221.980211641,0.2653416740000125,0.003586968000007573,0.25972269799999026,0.0019129220000024816
23,0,16,0.26282527399999367,0.0024684219999926427,222.085248956,222.345605808,222.085361103,222.088917394,222.343673977,222.343682527,0.260356852000001,0.0035562909999953263,0.2547565830000167,0.0019232809999891742
24,2,16,0.28652442699998915,0.002410588999993024,222.448773048,222.732886886,222.448880668,222.452320689,222.730851156,222.730860007,0.2841138379999961,0.0034400210000171683,0.27853046699999595,0.0020268789999988712
25,1,16,0.2703261940000061,0.0024222570000063115,222.835968533,223.10387247,222.836076052,222.839844868,223.101919417,223.101928067,0.2679039369999998,0.003768815999990238,0.2620745490000047,0.0019444030000101975
26,0,16,0.26199730400000476,0.002409685000003492,223.206844888,223.466432507,223.206955525,223.210401279,223.464585264,223.464594115,0.25958761900000127,0.0034457539999834808,0.2541839849999974,0.0018383919999962473
