request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,1,16,0.3242475959705189,0.002003795001655817,346135.380351704,346135.702595505,346135.380466504,346135.383774296,346135.701041809,346135.701050209,0.32224380096886307,0.003307791950646788,0.3172675130190328,0.0015452959924004972
2,0,16,0.21639876399422064,0.0025384940090589225,346135.80528385,346136.01914412,346135.80538955,346135.807162846,346136.017639524,346136.017647824,0.21386026998516172,0.0017732959822751582,0.21047667803941295,0.0014962959685362875
3,0,16,0.2218127500382252,0.0025053940480574965,346136.121995765,346136.341303121,346136.122102565,346136.124852658,346136.339757425,346136.339765725,0.2193073559901677,0.0027500930009409785,0.2149047669954598,0.0015373959904536605
4,0,16,0.22321584599558264,0.002483692951500416,346136.444199966,346136.664932119,346136.444303866,346136.446804759,346136.663413622,346136.663422022,0.22073215304408222,0.00250089296605438,0.21660886303288862,0.0015100970049388707
5,0,16,0.21842185797868297,0.0024701939546503127,346136.767662164,346136.983613828,346136.767766764,346136.770334657,346136.981733533,346136.981742633,0.21595166402403265,0.0025678930105641484,0.21139887598110363,0.0018711950397118926
6,1,16,0.2395325059769675,0.0025216939975507557,346137.086371574,346137.323382386,346137.086477073,346137.088980267,346137.32175879,346137.32176689,0.23701081197941676,0.0025031939730979502,0.23277852300088853,0.0016154960030689836
7,0,16,0.21906534797744825,0.0025363939930684865,346137.426300531,346137.642829485,346137.42640783,346137.429024224,346137.641258489,346137.641267089,0.21652895398437977,0.002616394020151347,0.21223426499636844,0.001562396006193012
8,0,16,0.22297942696604878,0.00251649395795539,346137.745633421,346137.966096354,346137.74573962,346137.748712613,346137.964510358,346137.964518958,0.2204629330080934,0.0029729930101893842,0.21579774498241022,0.0015773960039950907
9,0,16,0.22057903202949092,0.00246989302104339,346138.06887769,346138.286986829,346138.068980589,346138.071840682,346138.285395233,346138.285403733,0.21810913900844753,0.0028600930236279964,0.21355455101002008,0.001583095989190042
10,0,16,0.2232291260152124,0.0024378939997404814,346138.389711465,346138.610502697,346138.389817164,346138.392840557,346138.608818301,346138.608826901,0.2207912320154719,0.0030233929865062237,0.2159777440247126,0.0016757959965616465
11,1,16,0.2319184030056931,0.0024557930300943553,346138.713255133,346138.942717743,346138.713361133,346138.716374625,346138.940798048,346138.940806148,0.22946260997559875,0.0030134919798001647,0.22442342300200835,0.0019115949980914593
12,0,16,0.22125503100687638,0.002452594053465873,346139.045504479,346139.264306916,346139.045607078,346139.048440071,346139.26269962,346139.26270802,0.2188024369534105,0.002832992991898209,0.21425954898586497,0.0015988959930837154
13,0,16,0.23717408999800682,0.0024792940239422023,346139.367098252,346139.601793048,346139.367199751,346139.370141844,346139.600086253,346139.600094553,0.23469479597406462,0.002942092949524522,0.22994440904585645,0.0016984949470497668
14,0,16,0.25599554204382,0.0024577940348535776,346139.704465484,346139.958003232,346139.704568784,346139.707460177,346139.956186837,346139.956194837,0.25353774800896645,0.0028913930291309953,0.24872665997827426,0.0018083950271829963
15,3,16,0.2542209469829686,0.0025384940090589225,346140.060844768,346140.312527221,346140.060969868,346140.06395496,346140.310726826,346140.310735726,0.2516824529739097,0.0029850919963791966,0.24677186604822055,0.0017914950149133801
16,1,16,0.2302312080282718,0.0025426940410397947,346140.415405457,346140.643093971,346140.415508156,346140.418533648,346140.641433475,346140.641441775,0.227688513987232,0.0030254920129664242,0.22289982700021937,0.0016521959914825857
17,0,16,0.2198612350039184,0.002699993026908487,346140.746112306,346140.963273548,346140.746216606,346140.749308698,346140.961569452,346140.961577452,0.21716124197700992,0.0030920919962227345,0.21226075402228162,0.0016960959765128791
18,0,16,0.2244546230067499,0.0024727939744479954,346141.066082284,346141.288064113,346141.066184983,346141.069478675,346141.286374417,346141.286383317,0.2219818290323019,0.003293692017905414,0.21689574199263006,0.0016807959764264524
19,0,16,0.23782488895813003,0.002486593963112682,346141.390772549,346141.626110844,346141.390877549,346141.393981341,346141.624487648,346141.624495748,0.23533829499501735,0.003103791968896985,0.2305063070380129,0.0016150960000231862
20,2,16,0.2674462120048702,0.0024944929755292833,346141.72892498,346141.993876699,346141.729031879,346141.732029072,346141.992058003,346141.992066503,0.2649517190293409,0.002997193019837141,0.26002893096301705,0.0018101960304193199
21,0,16,0.22222422901540995,0.002441594027914107,346142.096680234,346142.316462869,346142.096783134,346142.099682027,346142.314747474,346142.314756174,0.21978263498749584,0.0028988930280320346,0.21506544697331265,0.0017066950094886124
22,0,16,0.22148303099675104,0.00247059395769611,346142.419257805,346142.638270242,346142.419408205,346142.422460197,346142.636665546,346142.636673346,0.21901243703905493,0.003051991981919855,0.21420534898061305,0.0015968960360623896
