request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,round_trip_time,server_processing_duration,total_network_latency
158427.134838719,158427.891736815,158427.134843519,158427.257806623,158427.889604919,158427.889605119,0.7954357909038663,0.756898096005898,0.03853769489796832
158427.917087575,158428.212676105,158427.917090875,158427.918866072,158428.210467509,158428.210467709,0.3184243750292808,0.2955885299888905,0.022835845040390268
158428.231077276,158428.530109501,158428.231081076,158428.232884173,158428.528190904,158428.528191104,0.338426916860044,0.2990322250116151,0.03939469184842892
158428.661638791,158428.97630109,158428.661641991,158428.663465288,158428.974288193,158428.974288493,0.3433387919794768,0.31466229900252074,0.02867649297695607
158429.168208084,158429.44692184,158429.168211284,158429.17048028,158429.445059443,158429.445059643,0.30626724986359477,0.27871375597896986,0.027553493884624913
158429.678675671,158429.963847818,158429.678679171,158429.681064067,158429.961793721,158429.961794021,0.30552958394400775,0.2851721470069606,0.02035743693704717
158430.187154263,158430.526847822,158430.187157263,158430.189260959,158430.524310126,158430.524310326,0.36486587510444224,0.3396935590135399,0.025172316090902314
158430.693755557,158430.999512272,158430.693759157,158430.695852954,158430.997047176,158430.997047376,0.3278570829425007,0.3057567150099203,0.02210036793258041
158431.214258131,158431.55477759,158431.214261131,158431.217775125,158431.552497294,158431.552497494,0.37114579090848565,0.3405194590159226,0.03062633189256303
158431.722936924,158432.044891313,158431.722940524,158431.72507982,158432.042618217,158432.042618417,0.34664429211989045,0.3219543890154455,0.024689903104444966
158432.239932204,158432.597126238,158432.239935604,158432.242157,158432.594573142,158432.594573442,0.37737091700546443,0.3571940340043511,0.02017688300111331
158432.755739387,158433.134425587,158432.755743087,158432.757846383,158433.131860691,158433.131860891,0.40048887487500906,0.37868619998334907,0.02180267489165999
158433.264926681,158433.60065125,158433.264929981,158433.268569175,158433.597886554,158433.597886854,0.3550904169678688,0.3357245689840056,0.019365847983863205
158433.776980471,158434.114966037,158433.776983271,158433.780760065,158434.11269654,158434.11269674,0.3599587909411639,0.3379855660023168,0.021973224938847125
158434.291984257,158434.631059921,158434.291987757,158434.294171654,158434.628387626,158434.628387826,0.36620208295062184,0.33907566400012,0.02712641895050183
158434.801800452,158435.166781276,158434.801803752,158434.805194747,158435.16409318,158435.16409338,0.38861645804718137,0.3649808240006678,0.023635634046513587
158435.31042995,158435.620099861,158435.31043325,158435.312673446,158435.617619965,158435.617620165,0.3295542090199888,0.30966991098830476,0.01988429803168401
158435.818933148,158436.243291479,158435.818936548,158435.822565042,158436.240333484,158436.240333684,0.4522156249731779,0.42435833101626486,0.027857293956913054
158436.334083436,158436.709132144,158436.334086336,158436.336340533,158436.706479348,158436.706479648,0.4013215829618275,0.3750487079960294,0.02627287496579811
158436.847995824,158437.214898643,158436.847999224,158436.85039882,158437.212189647,158437.212189847,0.39612816693261266,0.3669028189906385,0.029225347941974178
