request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,0,16,0.4585644210164901,0.15663863701047376,39382.43959238,39382.741518164,39382.439666852,39382.511640317,39382.740143355,39382.740144868,0.30192578400601633,0.07197346500470303,0.22850303799350513,0.0013732959996559657
2,0,16,0.18606312599149533,0.1551489019911969,39382.99763409,39383.028548314,39382.997687914,39383.005516295,39383.028260664,39383.028261585,0.030914224000298418,0.007828380999853835,0.02274436900188448,0.0002867290022550151
3,0,16,0.187971106992336,0.15804703799221897,39383.28723377,39383.317157839,39383.287295658,39383.294921402,39383.316983777,39383.31698547,0.029924069000117015,0.007625743994140066,0.02206237499922281,0.0001723690002108924
4,0,16,0.2401027160231024,0.21265579302416882,39383.62085134,39383.648298263,39383.620920022,39383.627654822,39383.647948243,39383.647948984,0.027446922998933587,0.006734800001140684,0.020293421002861578,0.00034927899832837284
5,0,16,0.18611904699355364,0.15496009499474894,39383.912111892,39383.943270844,39383.912159203,39383.918469311,39383.940772998,39383.940773909,0.031158951998804696,0.006310108001343906,0.02230368700111285,0.002496934997907374
6,0,16,0.18992063798941672,0.1616397839898127,39384.205153765,39384.233434619,39384.205186879,39384.212599886,39384.232871292,39384.232872094,0.028280853999604005,0.007413006998831406,0.02027140599966515,0.0005625249978038482
7,0,16,0.1839523550006561,0.15744541000458412,39384.490736665,39384.51724361,39384.490805437,39384.497409407,39384.516695232,39384.516696704,0.02650694499607198,0.006603969995921943,0.01928582500113407,0.0005469059979077429
8,0,16,0.1839992559980601,0.1555843929963885,39384.773282987,39384.80169785,39384.773319977,39384.780656579,39384.801191211,39384.801192143,0.02841486300167162,0.007336602000577841,0.020534631999908015,0.0005057070011389442
9,0,16,0.1860314509831369,0.155756025982555,39385.057693524,39385.087968949,39385.057732008,39385.065581623,39385.087795307,39385.087796029,0.03027542500058189,0.007849615001759958,0.022213684002053924,0.0001729200012050569
10,0,16,0.18407695600762963,0.15588538900919957,39385.345145541,39385.373337108,39385.345190889,39385.352885304,39385.373068124,39385.373068835,0.028191566998430062,0.00769441499869572,0.020182820000627544,0.000268273004621733
