request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,0,16,0.6184209699858911,0.16084090398726403,26115.817554473,26116.275134539,26115.817660886,26115.888265453,26116.274113957,26116.27411499,0.4575800659986271,0.07060456699764472,0.38584850400002324,0.0010195489994657692
2,2,16,0.3651240119943395,0.16167559399400488,26116.535895434,26116.739343852,26116.535965248,26116.543023424,26116.738369319,26116.738369949,0.20344841800033464,0.007058176001009997,0.1953458949974447,0.0009739030028868001
3,0,16,0.40601663499546703,0.15949426299630431,26116.999734518,26117.24625689,26116.999791517,26117.008230572,26117.243230172,26117.243231074,0.24652237199916271,0.008439055000053486,0.23499960000117426,0.0030258160004450474
4,0,16,0.2974489420012105,0.16032166399963899,26117.507290382,26117.64441766,26117.507361528,26117.513995783,26117.643247943,26117.643248574,0.13712727800157154,0.006634254998061806,0.12925216000076034,0.0011690860010276083
5,0,16,0.31475240900181234,0.16158273100154474,26117.905674314,26118.058843992,26117.905726043,26117.914505658,26118.057887202,26118.057888114,0.1531696780002676,0.008779614996456075,0.1433815440032049,0.000955878000240773
6,4,16,0.4481238619919168,0.1590585999947507,26118.319860717,26118.608925979,26118.319916843,26118.327653016,26118.605928987,26118.60593002,0.2890652619971661,0.007736173000012059,0.27827597099894774,0.0029959589992358815
7,0,16,0.3019872349977959,0.15982212599919876,26118.867564282,26119.009729391,26118.867629987,26118.874846977,26119.00659774,26119.006599132,0.14216510899859713,0.00721699000132503,0.13175076300103683,0.0031302589995902963
8,0,16,0.3040309329953743,0.1597252439969452,26119.269983704,26119.414289393,26119.270053237,26119.276987286,26119.413273502,26119.413274323,0.1443056889984291,0.006934049000847153,0.1362862159985525,0.0010150699999940116
9,0,16,0.3861942709918367,0.15888285299297422,26119.674896481,26119.902207899,26119.674945953,26119.682151531,26119.899197033,26119.899198226,0.22731141799886245,0.007205578000139212,0.2170455019986548,0.003009672996995505
10,0,16,0.310197872997378,0.15912711699638749,26120.160887665,26120.311958421,26120.160947854,26120.168231411,26120.310691111,26120.310691872,0.1510707560009905,0.007283556999027496,0.14245970000047237,0.0012665489994105883
11,4,16,0.33421315099985804,0.15796460499768727,26120.571062123,26120.747310669,26120.571140953,26120.580280168,26120.746232779,26120.74623363,0.17624854600217077,0.009139214998867828,0.16595261100155767,0.0010770389999379404
12,0,16,0.3697787139972206,0.15907840599902556,26121.005612294,26121.216312602,26121.005664975,26121.013415595,26121.21380074,26121.213801551,0.21070030799819506,0.007750619999569608,0.20038514499901794,0.0025110509996011388
13,0,16,0.3001125890004914,0.16184658299971488,26121.479403982,26121.617669988,26121.479471311,26121.487953419,26121.616482408,26121.616483039,0.13826600600077654,0.008482108001771849,0.12852898900018772,0.0011869490008393768
14,1,16,0.34049434699409176,0.1606483679934172,26121.87733561,26122.057181589,26121.877385455,26121.885707969,26122.05567588,26122.055676732,0.17984597900067456,0.008322513996972702,0.169967911002459,0.0015048569985083304
15,0,16,0.35986022900033277,0.16059082900028443,26122.317827661,26122.517097061,26122.317878498,26122.325156434,26122.51403702,26122.514037792,0.19926940000004834,0.007277935997990426,0.18888058599986834,0.00305926900182385
16,0,16,0.3000534909951966,0.1587870369949087,26122.777563287,26122.918829741,26122.777601491,26122.78429571,26122.917644655,26122.917645266,0.14126645400028792,0.006694218998745782,0.1333489450007619,0.0011844750006275717
17,0,16,0.3269380639976589,0.15975307499684277,26123.178296847,26123.345481836,26123.178343647,26123.186590255,26123.344456896,26123.344457668,0.16718498900081613,0.008246608002082212,0.15786664099869085,0.00102416799927596
18,0,16,0.34998432600696106,0.15869871700488147,26123.603890149,26123.795175758,26123.60395384,26123.613804461,26123.792766977,26123.792767819,0.19128560900207958,0.009850621001533,0.17896251599813695,0.002407939002296189
19,0,16,0.2974719339981675,0.15836913699604338,26124.055324135,26124.194426932,26124.055393318,26124.062710518,26124.193505329,26124.193506051,0.13910279700212413,0.007317199997487478,0.13079481100066914,0.0009208810006384738
20,0,16,0.3386944859958021,0.15825612299522618,26124.452277008,26124.632715371,26124.452326583,26124.46027892,26124.631555915,26124.631556886,0.18043836300057592,0.00795233700046083,0.17127699499906157,0.0011584849999053404
21,0,16,0.3506618709943723,0.1583978259950527,26124.891215143,26125.083479188,26124.891257744,26124.899416314,26125.08074489,26125.080745722,0.1922640449993196,0.008158570002706256,0.18132857599994168,0.0027334660007909406
22,0,16,0.3053109280008357,0.15883835700151394,26125.342734356,26125.489206927,26125.342801013,26125.350991966,26125.488461361,26125.488462343,0.14647257099932176,0.008190952998120338,0.13746939500197186,0.0007445839983120095
23,4,16,0.42236688699631486,0.15888767799697234,26125.748734457,26126.012213666,26125.748796043,26125.757281979,26126.010917207,26126.010918219,0.2634792089993425,0.008485935999487992,0.25363522800034843,0.0012954470003023744
24,0,16,0.3882488300005207,0.16704931499771192,26126.278342485,26126.499542,26126.278390136,26126.287915859,26126.497327226,26126.497328107,0.22119951500280877,0.009525722998660058,0.20941136699912022,0.002213892999861855
25,0,16,0.31605791799665894,0.16724422299739672,26126.76763159,26126.916445285,26126.767721863,26126.775560831,26126.915157763,26126.915158551,0.14881369499926222,0.007838967998395674,0.13959693200013135,0.001286733997403644
26,0,16,0.32854150400089566,0.16053472500061616,26127.177398575,26127.345405354,26127.177471985,26127.186502943,26127.34466003,26127.344660721,0.1680067790002795,0.009030958000948885,0.15815708700029063,0.000744633001886541
27,0,16,0.37590294900292065,0.16811340500134975,26127.613281091,26127.821070635,26127.613348681,26127.623469923,26127.818453129,26127.818454011,0.2077895440015709,0.010121242001332575,0.19498320599814178,0.002616623998619616
28,0,16,0.3325289009953849,0.17141611099577858,26128.083615945,26128.244728735,26128.083672512,26128.092855912,26128.243693145,26128.243693766,0.16111278999960632,0.009183400001347763,0.15083723299903795,0.0010349690019211266
29,0,16,0.3226490160013782,0.17498990400054026,26128.527847741,26128.675506853,26128.52790479,26128.535515643,26128.67486361,26128.674865112,0.14765911200083792,0.007610853001096984,0.13934796699686558,0.0006417410004360136
30,0,16,0.38178754500404466,0.17119563900632784,26128.948154654,26129.15874656,26128.948212816,26128.958987178,26129.156522617,26129.156523749,0.21059190599771682,0.010774361999210669,0.19753543899787473,0.002222810999228386
31,0,16,0.31635002500843257,0.15962743000636692,26129.418638326,26129.575360921,26129.418701547,26129.427944469,26129.574285632,26129.574286466,0.15672259500206565,0.009242921998520615,0.1463411629993061,0.001074455001798924
32,0,16,0.3133983290026663,0.16767245500159333,26129.843583751,26129.989309625,26129.843632775,26129.851404876,26129.988515517,26129.988516329,0.14572587400107295,0.007772101002046838,0.13711064100061776,0.0007932960033940617
33,0,16,0.3731939599965699,0.16134023299673572,26130.250276982,26130.462130709,26130.250331266,26130.259327297,26130.45941635,26130.459417231,0.21185372699983418,0.008996030999696814,0.2000890529998287,0.002713477999350289
34,0,16,0.30536884198954795,0.1628729969888809,26130.725610691,26130.868106536,26130.72565226,26130.733884431,26130.867051428,26130.86705221,0.14249584500066703,0.008232170999690425,0.1331669969986251,0.001054325999575667
