experiment_name,generation_ticks,inference_interval,percentile,rtt_percentile_ms,constraint1_satisfied,constraint2_satisfied,both_satisfied,constraint_status
local_gl_test,7.0,2,99,379.5538964375737,False,True,False,1
local_gl_test,7.0,3,50,319.9507120007183,True,True,True,0
local_gl_test,7.0,3,70,322.5639912016049,True,True,True,0
local_gl_test,7.0,3,80,329.5060076008667,True,True,True,0
local_gl_test,7.0,3,90,346.1129672992683,True,True,True,0
local_gl_test,7.0,3,95,357.10100294418226,True,True,True,0
local_gl_test,7.0,3,99,379.5538964375737,False,True,False,1
local_gl_test,7.0,4,50,319.9507120007183,True,True,True,0
local_gl_test,7.0,4,70,322.5639912016049,True,True,True,0
local_gl_test,7.0,4,80,329.5060076008667,True,True,True,0
local_gl_test,7.0,4,90,346.1129672992683,True,True,True,0
local_gl_test,7.0,4,95,357.10100294418226,True,True,True,0
local_gl_test,7.0,4,99,379.5538964375737,True,False,False,2
local_gl_test,7.0,5,50,319.9507120007183,True,False,False,2
local_gl_test,7.0,5,70,322.5639912016049,True,False,False,2
local_gl_test,7.0,5,80,329.5060076008667,True,False,False,2
local_gl_test,7.0,5,90,346.1129672992683,True,False,False,2
local_gl_test,7.0,5,95,357.10100294418226,True,False,False,2
local_gl_test,7.0,5,99,379.5538964375737,True,False,False,2
local_gl_test,7.0,6,50,319.9507120007183,True,False,False,2
local_gl_test,7.0,6,70,322.5639912016049,True,False,False,2
local_gl_test,7.0,6,80,329.5060076008667,True,False,False,2
local_gl_test,7.0,6,90,346.1129672992683,True,False,False,2
local_gl_test,7.0,6,95,357.10100294418226,True,False,False,2
local_gl_test,7.0,6,99,379.5538964375737,True,False,False,2
local_gl_test,8.0,1,50,365.9735129986075,False,True,False,1
local_gl_test,8.0,1,70,368.63033999616164,False,True,False,1
local_gl_test,8.0,1,80,376.2556351968669,False,True,False,1
local_gl_test,8.0,1,90,391.2532769012614,False,True,False,1
local_gl_test,8.0,1,95,399.61530299806327,False,True,False,1
local_gl_test,8.0,1,99,425.39711415309284,False,True,False,1
local_gl_test,8.0,2,50,365.9735129986075,False,True,False,1
local_gl_test,8.0,2,70,368.63033999616164,False,True,False,1
local_gl_test,8.0,2,80,376.2556351968669,False,True,False,1
local_gl_test,8.0,2,90,391.2532769012614,False,True,False,1
local_gl_test,8.0,2,95,399.61530299806327,False,True,False,1
local_gl_test,8.0,2,99,425.39711415309284,False,True,False,1
local_gl_test,8.0,3,50,365.9735129986075,True,True,True,0
local_gl_test,8.0,3,70,368.63033999616164,True,True,True,0
local_gl_test,8.0,3,80,376.2556351968669,False,True,False,1
local_gl_test,8.0,3,90,391.2532769012614,False,True,False,1
local_gl_test,8.0,3,95,399.61530299806327,False,True,False,1
local_gl_test,8.0,3,99,425.39711415309284,False,True,False,1
local_gl_test,8.0,4,50,365.9735129986075,True,True,True,0
local_gl_test,8.0,4,70,368.63033999616164,True,True,True,0
local_gl_test,8.0,4,80,376.2556351968669,True,True,True,0
local_gl_test,8.0,4,90,391.2532769012614,True,True,True,0
local_gl_test,8.0,4,95,399.61530299806327,True,True,True,0
local_gl_test,8.0,4,99,425.39711415309284,True,True,True,0
local_gl_test,8.0,5,50,365.9735129986075,True,True,True,0
local_gl_test,8.0,5,70,368.63033999616164,True,True,True,0
local_gl_test,8.0,5,80,376.2556351968669,True,False,False,2
local_gl_test,8.0,5,90,391.2532769012614,True,False,False,2
local_gl_test,8.0,5,95,399.61530299806327,True,False,False,2
local_gl_test,8.0,5,99,425.39711415309284,True,False,False,2
local_gl_test,8.0,6,50,365.9735129986075,True,False,False,2
local_gl_test,8.0,6,70,368.63033999616164,True,False,False,2
local_gl_test,8.0,6,80,376.2556351968669,True,False,False,2
local_gl_test,8.0,6,90,391.2532769012614,True,False,False,2
local_gl_test,8.0,6,95,399.61530299806327,True,False,False,2
local_gl_test,8.0,6,99,425.39711415309284,True,False,False,2
local_gl_test,8.0,7,50,365.9735129986075,True,False,False,2
local_gl_test,8.0,7,70,368.63033999616164,True,False,False,2
local_gl_test,8.0,7,80,376.2556351968669,True,False,False,2
local_gl_test,8.0,7,90,391.2532769012614,True,False,False,2
local_gl_test,8.0,7,95,399.61530299806327,True,False,False,2
local_gl_test,8.0,7,99,425.39711415309284,True,False,False,2
local_server_gl_test,2.0,1,50,112.13647949625735,True,True,True,0
local_server_gl_test,2.0,1,70,126.78756696986962,False,False,False,3
local_server_gl_test,2.0,1,80,133.12086641089985,False,False,False,3
local_server_gl_test,2.0,1,90,174.00315382401456,False,False,False,3
local_server_gl_test,2.0,1,95,199.53982677834568,False,False,False,3
local_server_gl_test,2.0,1,99,303.25735324004194,False,False,False,3
local_server_gl_test,3.0,1,50,152.7311459940392,False,True,False,1
local_server_gl_test,3.0,1,70,155.824470706284,False,True,False,1
local_server_gl_test,3.0,1,80,158.89469158137214,False,True,False,1
local_server_gl_test,3.0,1,90,168.17880861344747,False,True,False,1
local_server_gl_test,3.0,1,95,178.69108926970506,False,True,False,1
local_server_gl_test,3.0,1,99,190.25509603088713,False,True,False,1
local_server_gl_test,3.0,2,50,152.7311459940392,True,False,False,2
local_server_gl_test,3.0,2,70,155.824470706284,True,False,False,2
local_server_gl_test,3.0,2,80,158.89469158137214,True,False,False,2
local_server_gl_test,3.0,2,90,168.17880861344747,True,False,False,2
local_server_gl_test,3.0,2,95,178.69108926970506,True,False,False,2
local_server_gl_test,3.0,2,99,190.25509603088713,True,False,False,2
local_server_gl_test,4.0,1,50,200.87875000899655,False,True,False,1
local_server_gl_test,4.0,1,70,204.74751269211987,False,True,False,1
local_server_gl_test,4.0,1,80,209.12783377571031,False,True,False,1
local_server_gl_test,4.0,1,90,223.14420032780615,False,True,False,1
local_server_gl_test,4.0,1,95,230.58607473503798,False,True,False,1
local_server_gl_test,4.0,1,99,250.83762949623627,False,True,False,1
local_server_gl_test,4.0,2,50,200.87875000899655,True,True,True,0
local_server_gl_test,4.0,2,70,204.74751269211987,True,True,True,0
