request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,client_request_send_time,round_trip_time,latency_request_send,latency_response_receive,server_processing_duration
80468.068642386,80469.726536421,80468.068726956,80468.14857752,80469.715709617,80469.715709843,446391.246488166,2.2896563340327702,-365923.17784578,365923.809608079,1.6578940350009361
80470.338452982,80471.447636576,80470.338585982,80470.345507522,80471.436580194,80471.43658044,446393.536163375,1.717681999958586,-365923.197710393,365923.80620879895,1.1091835940023884
80472.399236518,80473.604962796,80472.399285098,80472.406658112,80473.594054274,80473.594054472,446395.507577958,1.9038017080165446,-365923.10834144,365923.80641687,1.2057262779999292
80474.54909255,80475.58448657,80474.549152877,80474.557558859,80475.57435446,80475.57435474,446397.642428875,1.7489844159572385,-365923.093336325,365923.806926721,1.0353940200002398
80476.572737182,80478.089191927,80476.572846703,80476.580420104,80478.076505408,80478.076505638,446399.774117333,2.1286343749961816,-365923.201380151,365923.813559781,1.5164547450112877
80478.721279292,80480.038168786,80478.721378279,80478.723457843,80480.024322224,80480.024322467,446401.91120875,1.9398454159963876,-365923.18992945796,365923.81288538,1.3168894940026803
80480.850870079,80482.061514994,80480.850927144,80480.859063505,80482.049031726,80482.049032021,446404.050151166,2.1072590420371853,-365923.19928108697,365924.095895214,1.2106449150014669
