request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,round_trip_time
53791.55993968,53793.772802959,53791.560052636,53791.630145294,53793.762915123,53793.762915461,2.997220457997173
53794.757745177,53797.153141884,53794.757803902,53794.759780966,53797.130233995,53797.13023432,3.6700184589717537
53798.444987183,53800.712420829,53798.445081999,53798.448636937,53800.674637738,53800.67463814,3.7589584589586593
53802.039193128,53804.598172913,53802.039268153,53802.045407061,53804.552500534,53804.552500879,4.176924415980466
53806.233422828,53808.233078775,53806.233506631,53806.283027164,53808.186443428,53808.186443804,3.671351000026334
53809.908911397,53812.787924063,53809.908986278,53810.013149885,53812.723388008,53812.723388393,4.6454576249816455
