request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,0,16,0.49192745800246485,0.06012802700206521,4479.9094172,4480.341216631,4479.909520481,4479.911876414,4480.33906818,4480.339077281,0.43179943100039964,0.002355933000217192,0.42719176599985076,0.0021393500001067878
2,0,16,0.4071726659894921,0.09838967898940609,4480.513148522,4480.821931509,4480.513252212,4480.515498422,4480.819790319,4480.819799113,0.308782987000086,0.0022462099996118923,0.30429189700043935,0.002132395999979053
3,3,16,0.3578196669986937,0.014453576998675999,4481.026240482,4481.369606572,4481.026360942,4481.028205583,4481.367282237,4481.367291236,0.3433660900000177,0.0018446410003889468,0.3390766539996548,0.002315335999810486
4,0,16,0.3371237909886986,0.02858100898902194,4481.501210683,4481.809753465,4481.501334007,4481.503153492,4481.807510323,4481.807519015,0.30854278199967666,0.0018194849999417784,0.3043568310004048,0.00223444999937783
5,0,16,0.34923604200594127,0.028463656005442317,4481.961863879,4482.282636265,4481.961969001,4481.965463582,4482.280352424,4482.280361627,0.32077238600049895,0.003494580999358732,0.31488884200007305,0.0022746380000171484
6,3,16,0.42582791700260714,0.05919096600246121,4482.453258532,4482.819895483,4482.453361301,4482.455471405,4482.8173064,4482.817315297,0.3666369510001459,0.002110104000166757,0.36183499500020844,0.0025801860001593013
7,0,16,0.3252177909889724,0.015274067989594187,4482.956787789,4483.266731512,4482.956908556,4482.95905987,4483.264415767,4483.26442497,0.3099437229993782,0.0021513140000024578,0.3053558970004815,0.0023065420000421
8,1,16,0.3636721250077244,0.014459304007687024,4483.399872262,4483.749085083,4483.39999487,4483.402588554,4483.746597032,4483.746605929,0.34921282100003737,0.0025936840002032113,0.34400847799952317,0.0024791539999569068
9,0,16,0.3223575420270208,0.012587862027430674,4483.880243245,4484.190012925,4483.880351128,4483.882695199,4484.187685726,4484.187694929,0.30976967999959015,0.0023440710001523257,0.30499052699997264,0.002317995999874256
10,2,16,0.35991679099970497,0.013999146999594814,4484.318267048,4484.664184692,4484.318390883,4484.32081083,4484.661769653,4484.661778754,0.34591764400011016,0.002419946999907552,0.3409588230006193,0.0024059380002654507
11,0,16,0.40766291599720716,0.09904551599720435,4484.793205243,4485.101822643,4484.793309239,4484.795473029,4485.099543918,4485.099552916,0.3086174000000028,0.002163789999940491,0.3040708889993766,0.0022697269996569958
12,2,16,0.3586982090200763,0.012786106020030275,4485.315280111,4485.661192214,4485.315399548,4485.317903037,4485.658432874,4485.658441771,0.34591210300004605,0.0025034890004462795,0.34052983699984907,0.0027504429999680724
13,0,16,0.3222817910136655,0.012001612013591512,4485.78820967,4486.098489849,4485.788333812,4485.790572656,4486.096025423,4486.096034012,0.310280179000074,0.002238844000203244,0.30545276700013346,0.0024558369996157126
14,0,16,0.3461844170233235,0.029791745022521354,4486.240665062,4486.557057734,4486.24076824,4486.242964341,4486.55477226,4486.554781565,0.3163926720008021,0.0021961009997539804,0.31180791900078475,0.002276169000651862
15,2,16,0.4012545839941595,0.06497623999439384,4486.686961739,4487.023240083,4486.687093243,4486.689327998,4487.020821263,4487.020830467,0.33627834399976564,0.002234755000245059,0.3314932649991533,0.0024096159995679045
16,2,16,0.3776736670115497,0.0420544810112915,4487.229460931,4487.565080117,4487.229587015,4487.232120671,4487.562690441,4487.562699338,0.3356191860002582,0.0025336560001960606,0.3305697699997836,0.0023807790003047558
