request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,0,16,0.6598904158454388,0.02780891684233211,103160.027354052,103160.659435551,103160.027404452,103160.159965307,103160.658098457,103160.658098657,0.6320814990031067,0.13256085499597248,0.49813315000210423,0.0013368939980864525
2,1,16,0.2383901251014322,0.02184941610903479,103160.789570416,103161.006111125,103160.789622516,103160.791919506,103161.004655131,103161.004655331,0.2165407089923974,0.0022969900019234046,0.21273562499845866,0.00145579400123097
3,0,16,0.1926493749488145,0.04376058695197571,103161.151235928,103161.300124716,103161.151284428,103161.15317812,103161.29906692,103161.29906712,0.1488887879968388,0.0018936920096166432,0.14588879999064375,0.001057596004102379
4,0,16,0.18040825007483363,0.023661794068175368,103161.426173697,103161.582920153,103161.426223797,103161.428157889,103161.581800257,103161.581800557,0.15674645600665826,0.0019340919971000403,0.1536423680081498,0.0011195959959877655
5,0,16,0.1797875000629574,0.030492113073705696,103161.718686894,103161.867982281,103161.718738794,103161.720727186,103161.866912385,103161.866912585,0.1492953869892517,0.0019883919885614887,0.14618519900250249,0.0010696959943743423
6,0,16,0.17743349983356893,0.027143317827722058,103161.997488148,103162.14777833,103161.997539148,103161.99963474,103162.146677035,103162.146677235,0.15029018200584687,0.0020955920044798404,0.14704229499329813,0.001101095011108555
7,0,16,0.17596404091455042,0.026769154908834025,103162.28173378,103162.430928666,103162.28178378,103162.283826171,103162.429837871,103162.429838071,0.1491948860057164,0.0020423910027602687,0.1460116999951424,0.0010905950039159507
8,0,16,0.1715207500383258,0.02337275903846603,103162.558131444,103162.706279435,103162.558179843,103162.560271335,103162.705176739,103162.705176939,0.14814799099985976,0.002091491987812333,0.144905403998564,0.0011024960112990811
9,0,16,0.18372645787894726,0.03512796788709238,103162.835636703,103162.984235193,103162.835705403,103162.837914294,103162.983073098,103162.983073298,0.14859848999185488,0.0022088909900048748,0.1451588040072238,0.0011618949938565493
10,0,16,0.16801162506453693,0.01869243806868326,103163.119942435,103163.269261622,103163.119991735,103163.122354825,103163.268128427,103163.268128727,0.14931918699585367,0.0023630899959243834,0.14577360199473333,0.0011328950058668852
11,0,16,0.16865262505598366,0.021251231053611264,103163.396169601,103163.543570995,103163.396219,103163.398345292,103163.542495899,103163.542496099,0.1474013940023724,0.002126291990862228,0.14415060701139737,0.001074895990313962
12,0,16,0.17986070783808827,0.03075551983783953,103163.674481157,103163.823586345,103163.674529457,103163.676880348,103163.82247485,103163.82247505,0.14910518800024875,0.0023508909944212064,0.1455945020134095,0.001111295001464896
13,0,16,0.17702308297157288,0.026653903973056003,103163.95878919,103164.109158369,103163.95886379,103163.961574979,103164.107991676,103164.107991876,0.15036917899851687,0.002711188993998803,0.14641669701086357,0.001166493006167002
14,0,16,0.17293637502007186,0.02301608701236546,103164.239108279,103164.389028567,103164.239184278,103164.241783462,103164.387863274,103164.387863474,0.1499202880077064,0.0025991839938797057,0.14607981199515052,0.0011650930100586265
