request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration
1,0,16,0.5014437080244534,0.061897186023998074,5071.836618726,5072.276165248,5071.836723884,5071.838944654,5072.273757932,5072.273766926,0.4395465220004553,0.002220770000349148,0.43481327799963765,0.0023983220007721684
2,1,16,0.46764649997930974,0.0484267279789492,5072.417466919,5072.836686691,5072.417575255,5072.419499758,5072.833935663,5072.833944452,0.41921977200036054,0.0019245029998273822,0.41443590500057326,0.002742239000326663
3,0,16,0.371401833021082,0.017315101021267765,5072.998464749,5073.352551481,5072.998589336,5073.000430748,5073.350130573,5073.350139567,0.3540867319998142,0.0018414120004308643,0.34969982499933394,0.0024119139998219907
4,0,16,0.3699481669755187,0.014622108975345327,5073.485432965,5073.840759023,5073.485554588,5073.487414396,5073.838279245,5073.838288341,0.35532605800017336,0.0018598079996081651,0.3508648490005726,0.0024706819995117257
5,0,16,0.4870466669963207,0.10082338799657009,5073.966348449,5074.352571728,5073.966467619,5073.968865531,5074.349844616,5074.349853712,0.3862232789997506,0.002397912000560609,0.3809790850000354,0.00271801599956234
6,0,16,0.38732404200709425,0.013333777007574099,5074.568006737,5074.941997002,5074.568128564,5074.570639106,5074.938970126,5074.938979222,0.37399026499952015,0.002510541999981797,0.3683310199994594,0.003017779999936465
7,0,16,0.38073574998998083,0.0248735289897013,5075.067434961,5075.423297182,5075.067541253,5075.069696125,5075.420693226,5075.420702322,0.35586222100027953,0.002154871999664465,0.35099710100075754,0.002594860000499466
8,6,16,0.5608109160093591,0.061328114009484125,5075.56507308,5076.064555882,5075.565178964,5075.567265665,5076.061316523,5076.061325516,0.49948280199987494,0.0020867010007350473,0.4940508579993548,0.003230366000025242
9,0,16,0.4082019589841366,0.04992741398473299,5076.247847802,5076.606122347,5076.247971673,5076.250509606,5076.603552936,5076.60356193,0.3582745449994036,0.0025379329999850597,0.3530433299993092,0.0025604169995858683
10,0,16,0.4048403330089059,0.049706112008607306,5076.773711016,5077.128845237,5076.773816695,5076.775949081,5077.12629361,5077.126302808,0.35513422100029857,0.002132386000084807,0.3503445289998126,0.002542428999731783
11,9,16,0.5297917920106556,0.03013156401084416,5077.296148143,5077.795808371,5077.29627181,5077.298479112,5077.792251872,5077.792261071,0.49966022799981147,0.002207301999987976,0.4937727599999562,0.0035472999998091836
