experiment_name,experiment_type,generation_length,num_requests,source_path,round_trip_time_mean,round_trip_time_std,round_trip_time_min,round_trip_time_max,round_trip_time_median,round_trip_time_p95,round_trip_time_p99,server_processing_duration_mean,server_processing_duration_std,server_processing_duration_min,server_processing_duration_max,server_processing_duration_median,server_processing_duration_p95,server_processing_duration_p99,inference_duration_mean,inference_duration_std,inference_duration_min,inference_duration_max,inference_duration_median,inference_duration_p95,inference_duration_p99,preprocess_duration_mean,preprocess_duration_std,preprocess_duration_min,preprocess_duration_max,preprocess_duration_median,preprocess_duration_p95,preprocess_duration_p99,postprocess_duration_mean,postprocess_duration_std,postprocess_duration_min,postprocess_duration_max,postprocess_duration_median,postprocess_duration_p95,postprocess_duration_p99,total_network_latency_mean,total_network_latency_std,total_network_latency_min,total_network_latency_max,total_network_latency_median,total_network_latency_p95,total_network_latency_p99,num_generated_notes_mean,num_generated_notes_std
local_gl_test,bulk_benchmark,1,1000,experiments/local_gl_test,0.05596495463683091,0.019844319981204714,0.040376033000939,0.6385655799967935,0.054621812501864,0.06138126904697848,0.07250888730741278,0.05353261688374182,0.019804645501065705,0.0379836370047996,0.6348269770023762,0.052188592995662406,0.05900031194687464,0.07009577233562586,0.050647230567119506,0.016201787005275258,0.0355062410017126,0.507429563003825,0.049433652999141445,0.056184959952588494,0.06715805136154807,0.0022691501940279944,0.0038721012933639986,0.001795800999389,0.124554210997303,0.0021411494999483,0.00222254589607464,0.0023526269612921162,0.0004962025187996417,7.650603478714109e-05,0.000410599001043,0.0027016029998776,0.0004889504962193,0.00054611500345342,0.000615201998734829,0.002432337753089037,8.188222692533634e-05,0.0023238010035129,0.0038685010003973,0.00242329999673525,0.00252410105786111,0.002611499994236488,0.047,0.3207707809229106
local_gl_test,bulk_benchmark,3,1000,experiments/local_gl_test,0.09078774637405874,0.00988939945748062,0.0860113500020816,0.3278809129988076,0.08840004699595735,0.10578309394732059,0.11968010887147097,0.08841868943895675,0.00989297899383279,0.0836479490026249,0.3257181109947851,0.08603420700092095,0.10344798294354399,0.11735516885993999,0.08547127136994093,0.009787238462888108,0.0808567470012349,0.3201516089975484,0.083169657504186,0.10047605109721182,0.11435479112697064,0.0020202537670410887,0.000334963084185837,0.0017552009958308,0.0035130010001012,0.00190320099500235,0.0030134910000924595,0.003332009041769175,0.0008101770970242303,8.420055459664027e-05,0.0007156000065151,0.0028842009996878,0.0007972995008458,0.000901425999108965,0.001004006020229954,0.0023690569351019317,4.899749316828714e-05,0.0021628020040225,0.0028260020044399,0.0023641519983356504,0.00245797185270929,0.002498258005944005,0.098,0.49054728277367576
local_gl_test,bulk_benchmark,5,1000,experiments/local_gl_test,0.13469642341607688,0.008496570915351885,0.129967246997694,0.2968371640017722,0.13288078699770267,0.14940192400499655,0.16367032361718883,0.1323481550451106,0.008503210060103029,0.1275741460049175,0.294732965005096,0.13055514100051363,0.14708079399933918,0.16124883561365996,0.1291768516868833,0.00843610133133935,0.1246192440012237,0.2887801679971744,0.12739771600172384,0.1438627839543187,0.15797123059579454,0.00189903948922433,0.00012633328422867538,0.0017319000035058,0.0040571010031271,0.0018854504996852,0.001983469050901425,0.0023703800201474207,0.0011568392708504178,8.10008159575888e-05,0.0010204999998677,0.0030283980013336,0.0011447504984971,0.0012465050032914751,0.00135223100085567,0.0023482683709662028,5.019044661955704e-05,0.0021041989966761,0.0028127999976277,0.00234109999655625,0.002424839947343475,0.0024956450242461068,0.121,0.533520049898449
local_gl_test,bulk_benchmark,7,1000,experiments/local_gl_test,0.1827847893759099,0.01203094267908741,0.1759823229949688,0.3742652389992145,0.18006329150011874,0.20484219965510417,0.21643361181791976,0.1804373935829717,0.012032204339611207,0.1736689230019692,0.3719712380043347,0.1777302280024741,0.20245753964481983,0.21410541283286869,0.17699880529306392,0.01196009907566756,0.1702857899945229,0.3685756380000384,0.17428480999660673,0.19890128555343828,0.2105408708580943,0.0019041689739751264,0.00011292724442735139,0.0017346000022371,0.0033234999937121,0.0018859499978134,0.00201014494741684,0.002306903996286515,0.0014191608109612802,9.136992906654288e-05,0.0012797000017599,0.0033172010007547,0.0014013504987814502,0.00156470504662138,0.001651125996286243,0.002347395792938137,4.608496133875678e-05,0.0020651000013458,0.0028313989969319,0.0023434499998984,0.00241730004854611,0.002486029007559403,0.195,0.7067350808290717
local_gl_test,bulk_benchmark,9,1000,experiments/local_gl_test,0.23007774236608383,0.012662890855906998,0.2209793220026767,0.4664972810060135,0.22686103500382154,0.25439172105543545,0.26348933882210984,0.2277398733488226,0.012664762191178357,0.2186989219990209,0.4643747809968772,0.22454156049934682,0.25209298115005363,0.2611595928222232,0.2239764982591223,0.012575171334110753,0.2151036220020614,0.45789268000226,0.22080965450004442,0.24834352954603667,0.25724603181653943,0.0019163912070361627,0.0002818172886424499,0.0017352990034851,0.0076551979946088,0.00188294950203265,0.0020368759473057495,0.002611826989159436,0.0017326527818585823,0.00010982903897319079,0.0015719000002718,0.0037603999953716,0.0017010004958137501,0.001923160004298475,0.0020313419986631707,0.0023378690172612053,4.8568221664580456e-05,0.0021225000091362,0.0029313000050024,0.00233319949984425,0.00240734000217338,0.00245925499722934,0.25,0.7720725976850209
local_gl_test,bulk_benchmark,11,1000,experiments/local_gl_test,0.2779987954390672,0.015828314388113062,0.2666394819971174,0.521190644998569,0.27334216400049627,0.305797335250827,0.32903962096279427,0.27565897567283537,0.01583170671339533,0.2642894820019137,0.5191424450022168,0.27098521000152687,0.3034184392989118,0.3266799479459586,0.2715656477669181,0.01573904507163734,0.2602715820030425,0.512648244999582,0.2669272654966335,0.2991656793026777,0.3223736529510643,0.0019237660400539841,0.00031102483227769465,0.0017474999986006,0.0099603999988175,0.0018827999992936,0.0020905150046018747,0.0025664330028665945,0.002056939765963712,0.00011539790070384078,0.0018630000049597,0.0040369000053033,0.0020264989980205,0.0022535150026669203,0.00240367901315033,0.002339819766231762,4.1811401855596234e-05,0.0020481999963521,0.0025759999989531,0.0023377999968943,0.002410810953733735,0.002452854986258863,0.381,1.0511631385964522
local_gl_test,bulk_benchmark,13,1000,experiments/local_gl_test,0.32489003613094974,0.01690635932728547,0.3111190460040234,0.527504671998031,0.3199507120007183,0.35710100294418223,0.3795538964375737,0.3225801893969692,0.01690381464754857,0.3088527470026747,0.5252167709986679,0.31762448999870685,0.3548133943062566,0.3772177094313519,0.3181870429760165,0.01680599376072502,0.3046144469990395,0.5208478679996915,0.313341668999783,0.350324070447823,0.37258328341646113,0.0019163419659670989,0.0001377761594304438,0.0017362020007567,0.003216003999114,0.0018831499983207,0.0021430772503663047,0.00249221309088166,0.0023648323508604742,0.00013615778153753012,0.002198802998464,0.0042383690015412,0.0023207029989862,0.002617952995205975,0.0027768689526419515,0.0023098467339804714,4.46654717906542e-05,0.0020145369999227,0.0026025900006061,0.0023044539993861,0.002389372047764425,0.002442933056008679,0.442,1.1462765591034085
local_gl_test,bulk_benchmark,15,1000,experiments/local_gl_test,0.37046745907691364,0.015164717660689431,0.3556378869980108,0.5143047370002023,0.3659735129986075,0.39961530299806325,0.42539711415309284,0.36814649596112575,0.015161993589125719,0.3533501870042528,0.5121699380033533,0.3636696440007654,0.3973037639978429,0.42306791116832754,0.3634034635128919,0.01505398856445367,0.3487393839968717,0.5039864400023362,0.3590170650022628,0.3924514430007548,0.41815098721446703,0.0019392621890874087,0.00024986507217488396,0.0017312999989371,0.0076001060006092,0.0018867510007112,0.00219002819794692,0.0027191340299032017,0.0026925015670712523,0.00017242391566741716,0.0024738990032346,0.0053588040027534,0.0026460504959686,0.00298810914682687,0.003248100976925264,0.002320963115787838,0.0003957772274995391,0.0021347989968489,0.0147245100015425,0.0023034499972709,0.0023901209988252898,0.0024476139864418062,0.436,1.1104670806183934
local_server_gl_test,bulk_benchmark,1,1000,experiments/local_server_gl_test,0.106176524825918,0.027814549595971766,0.0521921669715084,0.7807709999615327,0.1061743329919409,0.1312774877704214,0.15236762811487997,0.08202533760201183,0.025324679552983256,0.036708608000481,0.7589035159980995,0.08442266150086646,0.0885504310510441,0.09469421513007537,0.07894974613803785,0.020768697694645136,0.0342290970002068,0.5788123590027681,0.08159036299912255,0.08547601144564389,0.0918687411511928,0.0024589107099818167,0.0055353033332023365,0.0018673000013222,0.1771241569949779,0.0022194999983184,0.00270238600387524,0.0035367680077615453,0.0004929169698807013,7.881095741196629e-05,0.00039249999827,0.0027912000005017,0.0004880499982391,0.000533105049180385,0.000602054994087604,0.024151187223906117,0.009282584594412703,0.012077922008757,0.1092823230137582,0.02172345997678345,0.04589938623394116,0.060448845265418556,0.024,0.2268820739403523
local_server_gl_test,bulk_benchmark,3,1000,experiments/local_server_gl_test,0.12721933630271814,0.04326705048312923,0.0992277500336058,0.8166453749872744,0.11213647949625735,0.19953982677834567,0.30325735324004194,0.09112797551195397,0.01297032901427381,0.0822778050060151,0.3527973479940556,0.08590909849954186,0.11055531635247462,0.1195935020470642,0.08807152036705518,0.012876431038516179,0.0793210039992118,0.3469547490021796,0.08289095300278855,0.1073704815025848,0.11624865810081239,0.002119599142897591,0.00020799935951357435,0.0018222990038339,0.0032558000020799,0.0020185995053906497,0.0024926050034991248,0.002803209997291486,0.0008139346159295615,8.548481220099008e-05,0.0007111009981599,0.0027841989940498,0.0007986999989952,0.00090630500344557,0.00103313100124067,0.03609136079076412,0.039991935663544566,0.0137955070458701,0.7128957079912652,0.02365062548415145,0.10376240937584948,0.21253403093483933,0.099,0.4933988674920549
