request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,round_trip_time
78895.081713822,78896.847849612,78895.081801357,78895.165489066,78896.840219989,78896.840220303,2.390832083998248
78897.459278277,78898.660592151,78897.459372835,78897.466407768,78898.650102207,78898.65010246,1.8099016670021228
78899.322269322,78900.418202004,78899.322343116,78899.330504715,78900.40742989,78900.407430132,1.7032325419713743
78901.439324119,78902.873946564,78901.439454572,78901.447372584,78902.861768816,78902.861769125,2.046592917002272
78903.575540138,78904.872576492,78903.575630407,78903.583678475,78904.860325209,78904.860325528,1.9183491250150837
78905.756583626,78907.120902682,78905.756666399,78905.767864463,78907.108709462,78907.108709679,2.026800916995853
78907.851618267,78909.427754891,78907.851717723,78907.859614451,78909.412841775,78909.412842,2.476671082957182
