request_arrival_time,response_output_time,preprocess_start_time,inference_start_time,inference_end_time,postprocess_start_time,round_trip_time,server_processing_duration,total_network_latency
88690.410874397,88691.802368706,88690.41092281,88690.541164302,88691.792701232,88691.792701472,2.0013550000148825,1.3914943090057932,0.6098606910090894
88692.560527537,88693.108874826,88692.560598333,88692.570202121,88693.100471628,88693.100471852,1.1702349580009468,0.548347288990044,0.6218876690109028
88694.677565336,88695.268293668,88694.67764505,88694.68503279,88695.259671907,88695.259672127,1.2054075410123914,0.5907283320120769,0.6146792090003146
88696.830307114,88697.33761897,88696.830376275,88696.837015167,88697.329103852,88697.329104089,1.1081952920067124,0.5073118560103467,0.6008834359963657
88698.966329674,88699.459189441,88698.96638551,88698.968048882,88699.450381025,88699.450381311,1.1080942080006935,0.492859766993206,0.6152344410074875
88701.074230503,88701.777073391,88701.074311046,88701.083067094,88701.766882663,88701.766882801,1.3423014580039307,0.7028428880003048,0.6394585700036259
88703.206683696,88703.827271627,88703.206805999,88703.215907912,88703.816438577,88703.816438818,1.2408644589595497,0.6205879310000455,0.6202765279595042
88705.343729006,88705.961439757,88705.343790278,88705.35216193,88705.951085272,88705.951085561,1.2252944159554318,0.617710751001141,0.6075836649542907
88707.483467181,88708.079202204,88707.483529039,88707.492837941,88708.068311508,88708.06831178,1.2078472080174834,0.5957350230019074,0.612112185015576
88709.610515466,88710.227895538,88709.610589117,88709.61326563,88710.217262657,88710.217262948,1.2354700000141747,0.6173800719989231,0.6180899280152516
88711.743860504,88712.434850286,88711.743924394,88711.753503906,88712.424216492,88712.424216735,1.3021489579696208,0.6909897820005426,0.6111591759690782
88713.88688937,88714.676876001,88713.886963375,88713.896442284,88714.664602553,88714.664602798,1.701795333006885,0.7899866310035577,0.9118087020033272
88716.041785797,88716.896559465,88716.041864175,88716.051580639,88716.884828177,88716.884828421,1.7574248329619877,0.8547736680047819,0.9026511649572058
88718.18164837,88718.924158942,88718.181722487,88718.191749684,88718.911771593,88718.911771792,1.6444943330134265,0.7425105720030842,0.9019837610103423
88720.311803632,88720.875538639,88720.311861763,88720.320850706,88720.864534834,88720.864535056,1.4544588329736143,0.5637350070028333,0.890723825970781
88722.476310461,88723.365590703,88722.476381428,88722.494807424,88723.354407033,88723.354407296,1.7849686249974184,0.889280242001405,0.8956883829960134
88724.63630064,88725.344013434,88724.636370954,88724.645161939,88725.332860433,88725.332860683,1.3188867500284687,0.7077127939992351,0.6111739560292335
88726.774383892,88727.689044419,88726.774483873,88726.788049611,88727.676782161,88727.676782481,1.5256284169736318,0.9146605270070722,0.6109678899665596
88728.907123052,88729.61205085,88728.907204738,88728.921493948,88729.599966295,88729.599966567,1.3162502910126932,0.7049277979967883,0.6113224930159049
88731.053297055,88731.746921167,88731.053391716,88731.068046663,88731.735204315,88731.735204604,1.304059124959167,0.6936241119983606,0.6104350129608065
