Generation Length,Mean (ms),Std (ms),Sample Size,60% Upper Bound (ms),70% Upper Bound (ms),80% Upper Bound (ms),85% Upper Bound (ms),90% Upper Bound (ms),95% Upper Bound (ms),98% Upper Bound (ms),99% Upper Bound (ms),99.5% Upper Bound (ms),99.9% Upper Bound (ms),100% Upper Bound (ms)
1,60.44,20.51,2000,62.37,63.21,64.20,65.24,67.14,73.53,93.66,98.69,102.17,291.27,555.76
3,95.05,12.27,2000,93.10,94.39,96.80,102.59,115.22,122.94,127.27,134.24,141.35,180.16,200.75
5,140.55,12.16,2000,139.56,141.42,146.03,149.90,157.29,165.69,174.47,183.62,201.10,214.97,220.26
7,189.48,15.41,2000,186.61,189.63,197.02,203.88,211.41,219.36,228.84,239.76,263.72,285.70,320.09
9,238.10,18.94,2000,234.21,239.35,249.96,255.92,261.62,275.22,286.83,305.59,320.31,345.47,436.64
11,288.74,37.50,2000,285.44,292.82,303.34,309.98,323.03,342.04,362.83,384.94,399.51,680.81,1018.40
13,341.74,66.16,2000,335.89,345.74,359.01,367.99,380.59,404.15,433.88,471.29,499.12,564.09,2160.39
15,386.38,32.83,2000,382.18,392.90,405.02,414.76,427.60,453.80,483.43,508.50,532.11,552.11,567.18
