experiment_name,experiment_type,generation_length,num_requests,source_path,round_trip_time_mean,round_trip_time_std,round_trip_time_min,round_trip_time_max,round_trip_time_median,round_trip_time_p95,round_trip_time_p99,server_processing_duration_mean,server_processing_duration_std,server_processing_duration_min,server_processing_duration_max,server_processing_duration_median,server_processing_duration_p95,server_processing_duration_p99,inference_duration_mean,inference_duration_std,inference_duration_min,inference_duration_max,inference_duration_median,inference_duration_p95,inference_duration_p99,preprocess_duration_mean,preprocess_duration_std,preprocess_duration_min,preprocess_duration_max,preprocess_duration_median,preprocess_duration_p95,preprocess_duration_p99,postprocess_duration_mean,postprocess_duration_std,postprocess_duration_min,postprocess_duration_max,postprocess_duration_median,postprocess_duration_p95,postprocess_duration_p99,total_network_latency_mean,total_network_latency_std,total_network_latency_min,total_network_latency_max,total_network_latency_median,total_network_latency_p95,total_network_latency_p99,num_generated_notes_mean,num_generated_notes_std
local_gl_test,bulk_benchmark,1,900,experiments/local_gl_test,0.05490500926867951,0.0020309203621603346,0.0519061279992456,0.0613792489966726,0.054621812501864,0.058963836851034956,0.060754690181274724,0.05247333730195851,0.0020224325881295245,0.0493927380011882,0.0590000469965161,0.052188592995662406,0.05652520580406416,0.058289002998353635,0.04971117617127468,0.00201287079874487,0.0466567360053886,0.0563013439968926,0.049433652999141445,0.05374668805488903,0.05552426428337633,0.0021500306611010283,9.823963124540541e-05,0.0018208969995612,0.0036349030051496,0.002141801000107,0.002222543048264865,0.0023526269612921162,0.0004922330286515014,2.7435989469081838e-05,0.0004186989972367,0.0008226010031648,0.00048809950021669996,0.00053721000112995,0.0005826060051185271,0.002431671966720943,7.27660282870588e-05,0.0023257020002347,0.0038685010003973,0.0024232004980148996,0.0025228678925486247,0.002611499994236488,0.0022222222222222222,0.04711422651263441
local_gl_test,bulk_benchmark,3,900,experiments/local_gl_test,0.08957584927118051,0.003960943120270887,0.0868737499986309,0.1057801369970548,0.08840004699595735,0.09948551940105964,0.10543459986110969,0.08720688389104096,0.003958402446038801,0.0844166500028222,0.1034438359929481,0.08603420700092095,0.09710371119836045,0.10311053511431963,0.0842680342476847,0.003933857697879505,0.0815446479973616,0.1006503359967609,0.083169657504186,0.09391182490435297,0.10024975418418759,0.002016808195597402,0.0003304850256279263,0.0017552009958308,0.0035130010001012,0.0019026000009034001,0.0029959407002024593,0.003343181971504192,0.0008050342199728434,4.739775984575344e-05,0.0007185000067693,0.0012845009987358,0.0007968000027176,0.000881125947853355,0.0009844019783485898,0.0023689653801394965,4.847508098944186e-05,0.0022653999985777,0.0028260020044399,0.0023639009959879,0.002453626849091935,0.002498258005944005,0.04,0.23715030458190972
local_gl_test,bulk_benchmark,5,900,experiments/local_gl_test,0.13335790842896025,0.003038002771977471,0.1308833549992414,0.1494015960051911,0.13288078699770267,0.14046308720389786,0.1484989711070375,0.13101007391228953,0.0030429427884505187,0.1284873469994636,0.1470797959991614,0.13055514100051363,0.13813959224935388,0.14616998334662634,0.12784440119992518,0.0030481001127297433,0.1252350470022065,0.1438612960046157,0.12739771600172384,0.13495069725067874,0.14302910809012245,0.0019001386424577832,0.0001282332124485095,0.0017319000035058,0.0040571010031271,0.0018861000025935499,0.00197750589904896,0.0023703800201474207,0.001150052296515089,5.021189789693685e-05,0.0010204999998677,0.0015107990038814,0.0011411999948904,0.001234999049484005,0.001285166986126537,0.0023478345166706997,5.090076234617857e-05,0.0022322989898384,0.0028127999976277,0.0023404005005431,0.00242690504855998,0.0025003499973535273,0.04888888888888889,0.253669156645515
local_gl_test,bulk_benchmark,7,900,experiments/local_gl_test,0.1810819031588067,0.00501008147648732,0.1768770319977193,0.2048313500054064,0.18006329150011874,0.19377981490215454,0.2027329280496633,0.17873465840223718,0.005009195005555942,0.1745128369948361,0.2024468499948852,0.1777302280024741,0.1914693098966381,0.2003573100611538,0.17530446653344875,0.004981391179660935,0.1710361449950141,0.198889051003789,0.17428480999660673,0.18804399315013143,0.19685278005163126,0.0019044554099672927,0.00011410576054845151,0.001743198998156,0.0033234999937121,0.00188555049680865,0.00201014494741684,0.002306903996286515,0.0014104058977519951,5.960726781510522e-05,0.0012797000017599,0.0018330989987589,0.0013998975009599,0.001531780946606855,0.0016055610006878208,0.00234724475656948,4.171670654052436e-05,0.0022614000044995,0.0025957990001188,0.00234425050439305,0.0024158600441295847,0.002478475997922925,0.12555555555555556,0.44847067061864976
local_gl_test,bulk_benchmark,9,900,experiments/local_gl_test,0.22854035741120848,0.007163059728570697,0.2224148620007326,0.2543885340055567,0.22686103500382154,0.24827428890166625,0.25368030025769256,0.22620220362093177,0.007161543195865084,0.2199401199977728,0.252091633999953,0.22454156049934682,0.24593783889467877,0.2513480256501498,0.2224451937457181,0.007132818514292611,0.2161942200036719,0.2483434339956147,0.22080965450004442,0.2421036445961362,0.24749891265062607,0.0019180724500134705,0.00029230501790177,0.0017354999945382,0.0076551979946088,0.00188330000310085,0.00205399595033667,0.0025958879902463565,0.0017244980909566843,8.099813472426584e-05,0.0015719000002718,0.0021461990036186,0.0016997000020637,0.001903525000307065,0.001992007997687257,0.002338153790276668,4.9172513827244956e-05,0.0022210999959497,0.0029313000050024,0.0023328995011979003,0.00240810985123962,0.002453951019633594,0.17444444444444446,0.5868528288581777
local_gl_test,bulk_benchmark,11,900,experiments/local_gl_test,0.275935752559049,0.00890890963260097,0.2680664260042249,0.305778531001124,0.27334216400049627,0.29929223824437934,0.3049459970082534,0.27359550262980015,0.0089081194443133,0.2655639560034615,0.3033966299990425,0.27098521000152687,0.2970062182477704,0.3026661169942236,0.2695116086032633,0.008870610762856718,0.261162704002345,0.2991392300027655,0.2669272654966335,0.29282993874730884,0.2984290900127962,0.0019255991033504283,0.0003259235562803339,0.0017474999986006,0.0099603999988175,0.0018827999992936,0.0020876649967248545,0.002609471015093668,0.0020457092510736312,8.110219191219894e-05,0.0018630000049597,0.0025328999981866,0.00202494999757615,0.00219845999781677,0.0023368292190570406,0.002340249929248835,4.177567846491763e-05,0.0022415790008381,0.0025759999989531,0.0023377005018119,0.00241174094626327,0.0024582079968967557,0.23777777777777778,0.7239088336977408
local_gl_test,bulk_benchmark,13,900,experiments/local_gl_test,0.3226628012832953,0.009869833500263079,0.3132642160053365,0.3570914979936788,0.3199507120007183,0.34637739225363473,0.3539141745313827,0.3203527736188698,0.009863583777017702,0.3108735129935667,0.3548006680066464,0.31762448999870685,0.34406194709808907,0.35164954254163605,0.31596880807783845,0.009805119006361213,0.3065821069976664,0.350323300997843,0.313341668999783,0.3394402843037823,0.3470081135601504,0.0019173220987997108,0.00013400144280726318,0.0017362020007567,0.003216003999114,0.00188399599937835,0.00214478180350848,0.002473332788867934,0.0023546794298696223,0.000113235199303082,0.002198802998464,0.003026097001566,0.00231891349903885,0.002594362999297945,0.0027537578828922926,0.0023100276644253846,4.4026150570139766e-05,0.0021900000065215,0.0026025900006061,0.00230389900025325,0.002390703111450415,0.002446451963405631,0.29444444444444445,0.7969437046133359
local_gl_test,bulk_benchmark,15,900,experiments/local_gl_test,0.3685440767533065,0.009766021503318885,0.3586087570001837,0.3996119439980248,0.3659735129986075,0.3918236680496192,0.3983726175499032,0.36622168949570755,0.009757949507030702,0.3562172780002584,0.3972980449980241,0.3636696440007654,0.3894981608464149,0.39612908705465083,0.3614890226232415,0.009714141389310049,0.3514749609967111,0.3925866470017354,0.3590170650022628,0.3847572586000751,0.3910442611620965,0.0019410822189334907,0.0002580479912369423,0.0017312999989371,0.0076001060006092,0.00188760049786645,0.0021933919044385243,0.0026840999969134902,0.002680330767786119,0.0001382024504729613,0.0024830990005284,0.0041403970026294,0.0026446510019013,0.002948986701448985,0.0032184259971108366,0.002322387257598923,0.0004168876270179357,0.0021829000033903,0.0147245100015425,0.00230319949696415,0.0023901209988252898,0.0024476139864418062,0.31777777777777777,0.847108249636608
local_server_gl_test,bulk_benchmark,1,900,experiments/local_server_gl_test,0.10569510086995754,0.007711015062490373,0.0740362079814076,0.1312494169687852,0.1061743329919409,0.1157137892296304,0.1256489646132104,0.08320547082562468,0.006834711993070684,0.037044507000246,0.1058099209985812,0.08444820799923031,0.08841017480153818,0.09156132490075825,0.08029931725443422,0.006820348669813929,0.0343817060056608,0.1028857189958216,0.08160406900060475,0.08540069985137953,0.08872008690057548,0.0022909022888860232,0.00026129445900534347,0.0018673000013222,0.0061395010052365,0.00222114950156535,0.0026827430498086793,0.003451856986866896,0.0004914865221426719,2.684872168903483e-05,0.0004157009971095,0.0007033000001683,0.0004887000031885,0.0005319990512361101,0.000585242009037746,0.0224896300443328,0.004541517393693141,0.012077922008757,0.0498605120010324,0.02161462251751795,0.030774901613040105,0.04286235540879715,0.016666666666666666,0.15907826828129948
local_server_gl_test,bulk_benchmark,3,900,experiments/local_server_gl_test,0.12097657343644336,0.020527736418923827,0.1038481249706819,0.199501458031591,0.11213647949625735,0.17594157500425348,0.19280606593587427,0.09072263750997886,0.009764232191436026,0.0822778050060151,0.140268406998075,0.085954602498532,0.11042567855583908,0.11845074899087187,0.087677975407884,0.009726650273499662,0.0793210039992118,0.1366124099949957,0.08292993300347004,0.10723606310093595,0.11490136321015597,0.0021097129709555704,0.00019564596785385323,0.0018222990038339,0.0032558000020799,0.0020170499992673,0.0024758350493356697,0.002677996003549136,0.0008120624799225884,5.9551620419214524e-05,0.0007111009981599,0.0013189000019337,0.0007988495017343,0.00090630500344557,0.00103313100124067,0.030253935926464443,0.019064283605515698,0.0151966820267261,0.1127626759916893,0.02365062548415145,0.08577128143806469,0.10564376843962232,0.10555555555555556,0.5090638119647501
